id,text,subc
23495,and so it begins lt lt lt lt the unfair and biased and unjustified targeting of conservatives in massive censorship of conservatives exercise gt gt gt gt,2
58552,user second this they re fucking nuts,2
86788,user user everything is crisis for these conservatives the only real crisis ve noticed is the complete destruction of the conservative party,2
54970,feel your pain even while profit causing it gotta luv em redistributing wealth not on their menu serve up identity politics slop so you destroyed ya ll never catch bill now he got million dead kids sanctions under his belt,2
87399,user user liberals will melt,2
47202,user user too bad he can write law to take away the stupidity from liberals,2
40752,user user user user this is why conservatives and law abiding citizens do not come to the table about gun control it not about lunatics like this guy that should no longer own weapons its about removing all guns slowly but surely from everyone regardless of who they are,2
63371,user doing soooo much better than the big zero and his losers,2
59639,user user hope you re right about that last part but ve learned it pointless to underestimate the stupidity of tx conservatives,2
10181,user user user please stop calling the losers elite,2
31562,user everyone who is against this is called nazi by antifa scum and politicians,2
29363,user embarrassing for the liberals wonder who those women raped in school,2
35533,user after the gop wins the mid terms easily there will be no reason we dont put on the masks and grab weapons to go all on people like you clowns have been doing going to be so much fun,2
83523,user this liberal is pissed that anyone would give that disgusting pos an award for equality and for including all liberals in this bullshit decision by the hrc,2
38911,user interesting cause you leftists not only threaten us but regulary shoot stab us wonder if maybe mr swalwell is not all in on the violence toward conservatives he certainly always seems to ignore suppor it antifa for instance,2
79483,user disco pose with white dude overbite look classic dance move,2
10555,user user user this is because japan have pm with common sense amp foresight they do not pander to muslims like may does tory political suicide user ex tory,2
54841,user being the good christian that he is he asked god to spare his properties virginia beach was only slightly impacted you know the club prayer god spare me and mine to hell with everybody else,2
98793,am still crowd at queens park protesting the conservatives middle of the night power grab shame on the conservatives what kind of party creates chaos during an election rather than working with their citizens to create healthy economy user,2
30846,user wtf aren they treating antifa as terrorism,2
95412,user user the reaction from some conservatives was swift and appealed directly to male fears and male interests if men after years can come forward about priests sexual assault why can not women especially if the person accused is going to be sc judge amp stay on forever,2
31963,user always knew that is how biden and obama felt about conservatives it just shocking that they so easily admit it now no wonder there is such hatred and violence on the left,2
80291,user fairness what about being fair to the democratic process of this republic all this is sham to delay the vote shameful,2
68647,user do not forget the deletion of all of her social media no doubt anti trump pro antifa why is no one asking why she cannot fix year or day are they genuinely that gullible she had one beer and somehow ended up in bedroom implausible,2
40262,user user yep they had to produce this article to shut up the liberals,2
26243,user what was an abuse of power was all the crap you and the hussein gang pulled off your big contribution was the fast and furious caper to bring in gun control in strict contravention of the nd amendment but don worry justice is coming for you and barry band of outlaws,2
67302,user user antifa is much much smaller than white supremacists in america and responsible for fraction of the violence also nazi are bad,2
79313,user we dont need gun control we need white male control,2
44861,user re ford when she was where were her parents are liberals corrupt politicians all going collude with people to come up with stories from years ago that can not be proved and to the senator from hawaii she the reason women have hard time life ain easy,2
34301,user user fascists of the future will call themselves anti fascist antifa comes to mind,2
22662,user get away from these lying toxic people,2
24129,user user user user user user user user user user user user user user user user user user user user user but there is also many videos of antifa attacking disabled and old people if you want to see them victors spoiler on disabled attack three on one antifa to disabled vet,2
78851,what the hell are these leftys talking about they will say anything to stop maga,2
51085,user yeah niggas who dey wear durag nor dey joke hard as fuck,2
34447,user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user look at the pot calling the kettle black liberals have been pulling all sorts of stunts trying to get rid of your my our president ever since hillary hilariously lost the election,2
39356,user looks like antifa thugs,2
90802,videographer who reported on the violence of antifa was found dead due to tragic car accident police now believe his death was no accident at all welcome to the tolerant left,2
24498,user user elder and owen have been the bravest in pointing out that the culture is part of the problem liberals have engrained this short lived culture culture can change and will being black doesn have to be linked to poverty and resistance,2
23809,user it does which sucks but honestly at least can mute all the instances full of weirdos and just scope fed local it treat,2
84737,user user user lol now will they burn those and will they remember to take them off first one guy did not and to burn them outside so they do not take down the house as one guy did wait until they find out levis is now pushing gun control nazis marching in their tidy whities oy,2
63880,user horrible,2
68297,user whore book being published all the looney liberals run out and buy it,2
70164,user user user well that going to send the fake makers of main stream media and the left liberals and the powers behind them nuclear amazingly powerful world changing moment in humanitys history it everything we ve been told to expect,2
81226,yal stupid people tell me to back off cause he is like obsessed bitch who has been to all the football games walks to class does literally everything for them knows exact dates and numbers for everything me only reasons not competition cause she ain gay,2
38370,user ff sucks major wang,2
76440,user user user it was disagreement between fucking umpire and player it was not abusive,2
90034,user and then same liberals were accusing falsely in kathua case while hiding in shithole right now,2
74066,user replaces chickens with gun control,2
13114,user you should totally follow those whack job liberals unhinged and dangerous thank you,2
94070,user when even readers of liberal paper in effect liberals do not believe her accusations are credible,2
20570,user these liberals are responsible for the deterioration of american society they should be ashamed but we all know they re not,2
87329,user think you say and write more intelligent commentary than most of the hosts at msnbc fake liberals with big corporate blind spots,2
68010,user too many corrupt evil beings hold govt positions amd or have too much clout the corrupt amp evil beings in gvt positions amp the majority all point to the left few fake conservatives in the mix why else is hillary obama amp their cronies still walking free,2
31566,why is not peter strzok and lisa page in jail they are traitors to the united states and it people the us does not have two tiered system for lawbreakers,2
10621,user user not muppet lbs voter who is of puerto rican decent that doesnt take bs from white liberals like you,2
46709,user establishment turd conservatives have much better memory than liberals we don have eyes full of hypocrisy blinding us,2
37859,user user user user uk polititians are special breed of filth they get together and vote that their expense and sex crimes paedophilia remain secret and then declare child abuse documents remain secret due to national security nothing to do with national security,2
65340,user user user user user hmmmm what about the meps who we elect in the uk who attend the european parliament to represent the uk it framework under which we operate we re not the victim until we leave and are then subject to rules we don even control it let stop it,2
50999,user user user you forgot the sarcasm tag kid some people are ignorant enough to think you are serious,2
49817,user you are all recycling of liars,2
93181,user user user user user user user user you know you re racist monkey huh sure you know what you are piece of trash never hear these pieces of horse shit speak the truth only their racist lies bitch boy it about the racist cops killing unarmed black and brown people that the fact ass clown,2
57952,user lemme rap on that shit ll do video floatin downstream in coffin like in horrorland lol,2
73561,on gun control again raises his residence in the dangerous dc area his exposure to gun violence in bethesda is like calling yourself gangsta because you live in beverly hills,2
30893,user what are you afraid of liberals you screamed for transparency now that potus is doing just that you are screaming to keep it secret the truth is there you don want it seen liberals are hypocrites amp the alphabet agencies have some bad apples involved in soft coup tick tock,2
89422,user user quick preview summary blame democrats blame obama blame gun control blame blacks passively blame democrats,2
77406,user your so correct liberals so easy to figure out make america great again get rid of all liberal woman,2
52292,user better than what truth politicians have never been good at that my america is better than flake,2
82591,user user user honestly you people are seriously delusional it good thing the majority of fans in ottawa are educated because ppl like you are scary,2
68916,user love it that the wet liberals are so frightened by the us and yet are so keen to deal with the non democracy that is europe,2
11409,user user or maybe to pay for their protests since mnuchin shut that slush fund down probably going to pay for antifa riots busing in people and weapons,2
87033,user she should start kneeling before matches and talk about how oppressed she is its getting deep in america with all the bs the liberal nuts are throwing up,2
18519,user user there are plenty of sane centrist democrat citizens but far leftist politicians amp antifa weirdos no thanks,2
66862,user liberals gag,2
64273,user thought it would be worse thought they would be shooting liberals in the streets by now,2
34157,user another crazy liberals,2
66781,user user liberals want bert and ernie to be gay wtaf,2
85481,user user he gets confirmed conservatives don care that he rapist at all,2
60631,user pretty sure most of your supporters do not have any new found wealth assume you re referring to your fellow billionaires that you gave huge tax break to,2
31213,user user user user user she and him beign joint acct have called me and grok everything under the sun the same person women racist redneck antifa kkk members grannies yes grannies haha etc it pretty common when the fraud gets busted to start calling the one who busted them hilarious names,2
42335,user liberals are full of when they say they have alot of love to give they have become the devils minions no one will prayerfully vote for their socialist agenda,2
18455,user user user user user haha trump is still winning it fun to watch the liberals literally go insane,2
73285,user please show me your post where you said the same thing about conservatives targeted by antifa and other leftist friends of yours,2
41114,user user rescue conservatives from its own demons who are the two or three most notorious serial abusers of women in the last years hint they were not gop did they ever face consequences,2
59875,user how funny championship winners will not visit user stupidity of liberals is so amazing and that face with the plastic stupidity proves it oh right she might harm her little face whats next complete body armor,2
91705,user user the hell with the liberals move them all to california and build wall on the east border,2
64544,user user user user user user had no idea all republicans were nazi racists till trump got elected imagine my surprise native american so took it hard finding out was racist was despondent went around punching out antifa to work through my depression,2
40821,user colored people should vote what color is she referring to white and bright white is color next racial dividing statement ms obama,2
12324,user user talk about the pot calling the kettle black you should be ashamed of your cash payoffs to iran amp of you helping iran to become necular power it would be better if you just set your sales and gave us all big wave goodby user will clean up your mess,2
85190,user user user user user evolution an evolution we helped to enact is economic and social suicide,2
32729,user user user lol only ones see attacking anyone is your crybaby liberals,2
82106,user user antifa are not fascist they re terrorist,2
88278,user why in the hell would do that the left already hates me enough black conservatives aren liked in this country comment and fight because of that,2
42038,user user user no liberals just state they believe her because she is woman and democrat they state they do not believe kavanaugh because he is man and should shut up they probably believe oj,2
27150,this obvious hit job on kavannah is not going to work and the liberals continue to reveal themselves as demonic figures,2
19249,user user user you are absolutely correct but your question would be better directed at the liberals in congress the ones that make conflict big business it all about money amp power,2
82193,user user user typically liberals jump to conclusions they dont believe in due process or innocent until proven guilty they are the most anti american bunch,2
35817,user user who appointed you the spokesman for the people at lake norman guess you interviewed every person at the lake and it unanimous poll against president trump not likely you are like most liberals who try to speak for everybody,2
57355,user can we start shooting the blue thugs then going through their shit and saying thats why they died cuz this is fucking infuriating wtf does it matter there is pot in his home what is in her home she is the guilty one not him,2
71908,user user user user user user all liberals are devils all of us ask any repub we hold hands to stand together to know we aren alone in this fight for civility and decency call us all the names you want it doesn matter one bit,2
81851,user user who really listens to those post menapausal angry yentas except hardcore liberals and femanazis,2
83018,user user invite user to all of the user shows and let her tell you about her interview with brock long then you will know why sounds so unhinged he is parroting the fema admins line of bs user tried to fight back against long bs,2
76994,user user gfy the nfl should get no protection from the police and no support from our military the league will slowly die on this road of shame,2
83788,user user liberals are using sexual assault claim as political tool let that sink in,2
62650,user figures what is wrong with these idiots thank god for user,2
39490,user user user whenever conservatives lose court ruling they bitch and moan about activist judges or agenda judges whenever anyone else loses court ruling they accept that they lost court ruling conservatives are whiny babies,2
24698,and there we go so according to the maga believers kavanaugh could not have attempted to rape dr ford because her lawyer made donation to user idiots,2
58670,user so she is using the feminist card as excuse for her behavior in not getting what she wanted when the other competitor that she played was woman who just was simply better than her today every woman in that room who applauded to that nonsense feel sad for you,2
27669,user sorry dana that you have to hear from such sick mental patient liberals they are so pathetic support you percent,2
45000,user user user and know what trash too for being more worried about blaming and shitting on ariana for death she not responsible instead of mac,2
34477,user user even the parody antifa page could not deal with this shit,2
62585,user user user purposefully had my damsel be bit of badass she is saved by the protag saved by the third party member and sticks her neck out to save their hind quarters just as often if not more sure she may have ulterior motives evil laugh but she still pretty kickass,2
47852,user who would buy book written by such total classless porn star ll tell you who democrats and liberals,2
99729,user love how fat they all are while chowing down on cake and cookies that the future liberals want,2
20764,user user if you speak spanish ms muslim terrorist black person should ve complied hold dissenting opinion emotional snowflake gun control nazi republican putting people in internment camps patriot think you leave your human rights at the boarder patriot tired,2
93727,user user user user lisa page confirmed the russia story was passed to the msm as distraction for gullible liberals to push as narrative to hinder our duly elected president success in office,2
67167,user crazy liberals,2
91889,user and how much will you have to say once you are in jail your whole family are,2
11283,user our great state has been flooded with illegal immigrants and liberals from blue states looking for work then these dumba es vote democrat go figure all insane,2
75175,user liberal dictionary illegal immigrants dreamers trump supporters deplorable ms killers human beings human beings in the womb not human beings antifa protestors law abiding nra members terrorists bill clinton feminist brett kavanaugh predator,2
98731,after the twitter purge was over and black nba twitter changed their accounts back from maga white folk,2
49045,more bad news for democrats,2
90679,ever supporting strict gun control,2
42517,user user user user liberals are vile vicious and disgusting,2
62142,user user antifa is high emotion low iq fascist organization some of its members are fooled by its name into not reflecting on their own groups obvious fascist ideals and others are just there to take advantage of the rest of the fools,2
30804,user feel free to use it because unlike your ilk we do not scream or use dramatic phrases like you are denying my right to exist wahh women like us can take your silliness without crying knock yourself out,2
71524,user you don get it it all women don like to come forward because of men like you when they finally do come forward men like you either slut shame them or call them liars men like you are shy lot of victims remain silent,2
35688,user user levi just came out in support of student gun control activists now the trumpers will be burning their jeans as well as their sneakers,2
16893,user user user time really starting to hate that word she had all the time in the world to open her mouth really shut up about time enough of this left liberals bull shit about time you and she have no case actually time is what is hurting her case,2
80777,user destroy america is more the chant from all democrats including hillary,2
80342,user user right disgusting can tell if these acc is man or woman but he she is sick,2
60091,user cuz liberals are sick of cnn,2
83810,user user user yes but it doesnt help with the made up stories about him he should not of called football players sob but he is right about illegal immigration we can not support the entire nation rules needs to change,2
81856,user the really frightening thing is that plenty of antifa are stupid enough to believe this is true put bet on the first one to try it being woman antifa they seem to be the most stupid and more willing to vitue signal their way into an early grave,2
18151,user user user user user user user user user user that what you are implying that no one took correct records having been to hospital it is usual for the doctors or nurses to record as they go so it is your claim that so many are incompetent if no single record was produced correctly,2
26267,user user user user who has what to lose this entire thing is to block kavanaugh because he leans bit to the conservative side and was nominated by trump this is the liberals playing games if you can not see it you ve been brainwashed by mainstream media,2
56657,user hes sure as hell not one of is either traitor liberals all of them,2
10665,user user user weak argument considering gop congressmen were shot at baseball practice people wearing maga hats are routinely attacked antifa mobs commit violent acts wearing masks etc,2
16945,user prime example as to why we can not have anymore liberals in our government they do not want to nor do they know our constitution they prefer to dictate and be superior than americans their hate for our republic is brazen and we need to keep them out,2
11282,the assembly line via user we cannot we cannot trust why do we let these have user,2
59555,user these people are absolutely insane liberals have been attacking white men for years and it is getting worse the path they are pushing for will create another civil war which there will not be recovery and they are too damn stupid to see that,2
36555,user the reason liberals should be deported they are just to sick and twisted to fix,2
92129,user liberal dictionary illegal immigrants dreamers trump supporters deplorable ms killers human beings human beings in the womb not human beings antifa protestors law abiding nra members terrorists bill clinton feminist brett kavanaugh predator,2
42514,user user user john careful liberals will attack you for thinking critically because the facts are not on their side,2
89988,user user user trump call them very find people so lets talk about groups like antifa and black life matter people that has form to fight hate groups all would like to apply some type of moral equivalency to hate groups and them just like ice was form to stop illegal immigrants we luv them,2
28169,user maybe because you ve provided play form for hate groups with no criticism or criticism lite while bashing antifa with zero analysis,2
76807,user user user user fake conservatives and their fake outrage over the budget betrayal,2
10008,user because they have corrupt liberal government that steals from the people liberals at work,2
49760,black female democrats call for changes in party,2
78252,user user never watch the nfl panthers suck by the way,2
71552,never hid her inexcusable but we know sunk her because of comment we must to end has been an open for decades inexcusable end,2
98521,user reason is he is in small market on mediocre team,2
11554,user user you been reading again right that what says believe it too but still sessions is virtually invisible rr is there to stay he is not going anywhere even when the fisa docs released to public will not be covered at all by the shitstream media nobody will ever know,2
55870,user user it easier for pod to believe both sides are terrible then he doesn have to honestly look at the conservatives,2
83182,user are all you liberals idiots,2
27535,user user ll answer for you when you have different opinion to them you re racist when they lose an argument you re racist if you love britain you re racist liberals are week people it takes strong person to to not be one of the sheep,2
50919,user hey ladies watch you on saturday nights with jesse keep up the good work and your right about jon voight he is gods man and bless his heart for standing up for the president mean evil people out their who are mad and dangerous we all want hope and change for america,2
76661,user hitler would be so proud of david hogg,2
75946,user chicago already has the toughest gun control laws in the country democrats want to disarm law abiding citizens but criminals will always have guns,2
45879,user see his tweet but it just another garbage tweet from the liberals contributed nothing except to add more confirmation that the liberals are out of talking points amp aren to be believed,2
54013,user user user user user liberals do not address they insult and attack,2
79047,user user user she is the comedian that lectures the audience for an hour how white men are the scum of the earth,2
17565,user too many republicans conservatives perennially bringing knife to gun fight is how connecticut has ended up basket case state if you can not stomach matching your adversaries aggression level you will get steamrolled every th grader knows this,2
47639,adulting is knowing who fucked cut off in your future plans,2
80461,seems to be intentionally misleading his viewers suggesting paedophiles among whites are the same percentage as and that we are only angry at one no mr ferrari think not,2
34694,user user we all know that the left is going to believe all those lies demo liberals rats are there to destroy president trump nov is going to be red,2
94286,user girl bitches aggravate me,2
11326,user sick of white neo liberals speaking for black people saying they all love hillary they are so deluded it like they just rep black lives matter so they can appear woke enough to keep railing against bernie supporters because you know they didn care hillary lost trump,2
90804,user user hire american you pieces of trash please and stop banning conservatives on your platforms please,2
27076,user user is so biased against conservatives everyone should drop google and use bing or duckduckgo,2
15345,to the kneejerk people crying for gun control after this shooting we already have very restrictive gun control you just want ban it pity no one has politely explained to these criminals that they are supposed to obey the law,2
11777,th columnist always imagines himself as patriot that how traitors rationalize perfidy clearly the deep state the steady state the swamp or whatever you wish to call it sees itself as above such nuisances amp trivialities as elections,2
64448,user user how many gun control measures did republicans shoot down in the house or senate during obama terms hint it in the triple digits bordering states with weak gun laws wi amp in make it easy for gangs to get guns into illinois,2
28067,user the hollywood elites make fun of republicans conservatives christians jesus amp ex crackheads that very funny considering they consist of democrats liberals atheists satanists and current crackheads and do not forget the adulterers pedophiles and abusers of woman,2
53883,more white boys standing up for you every day ms user think the poster adds speshul emphasis don you,2
57660,training oh my god fools and tools,2
74460,user user user saul does not suffer fools and he is impatient with people who are too lazy to read and learn,2
15197,user user apparantly that rule of law does not apply to republicans conservatives baselessly accused by dems,2
66673,user user user for the love of all things sacred he cannot be voted in he is well down towrds the bottom of that scummy swamp the scales of justice need to let him drown in his own shit make the year of holding each other accountable for our responsibilities,2
84452,user user user user user user user user user user user user user user user user user user user user user user user user user user never talked about gun control in any form,2
10092,big thank you to all these stupid celebrities events like this will only serve to help republicans in and elections user user user,2
23139,user user indoctrinated programmed to believe everything tells you to the left are the nutcases acting stupid in senate hearing antifa hate filled,2
13047,user as if conservatives did not hate sesame st enough,2
50050,user fuck my bad leslie def added you tho lmao im give it to ypu now,2
17661,user user user user user user you are dope delusional libtard ask the govoner of puerto rico about the fantastic response by our president user,2
68698,user user user this is fun asked him for proof and he blocked me was about to joke about how he go from the antifa are the real nazis to similar alt shite talking points boy that sure was providing proof quickly,2
94450,user user user user user user user user user antifa unmasked and up close hey is that who think it is they are so stupid no one told them white raised fist stands for white power so thanks mbasses,2
85257,user user user user politicians talk about racism islamophobia homophobia rape drug abuse etc etc do you not understand how fucking sick it is to ask jess if she discussed with her children that complete strangers hate mummy hope for your own sake that you are unwell,2
89781,user user user user bs made up by lying liberal cheap filthy whore whose lies help to undermine real women who are sexually assaulted but with trashy liberals who cares right as long as the end can justify the means trashy libs tried same thing with judge thomas democrats are sick,2
33920,user why isn she is custody understand she cannot be in general population but she should be in custody and in some sort of holding cell,2
74509,user build the wall vote republican not perfect by long shot but so much better than the alternative anti americans,2
49843,user hoping it joke are morons and have no clue how many people carry backup guns their stunt will make them lethal threat in most states do the math on what will happen silly,2
36654,user user with democrat sociability quotient it no wonder democrats think about gun control all the time,2
18987,user conservatives are so sick of these tactics by liberals first there was bork then there was thomas republicans just keep taking it too trump won take it for long though,2
94226,user user he made gun control shift as well check his talking points from last cycle,2
26105,user wow not even his supporters can do the math and see that he is not right for this country well his supporters cant do math either,2
29558,user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user even pedophiles in interviews will tell you the only way to stop them is to kill them pedophiles even admit to when out of prison they will offend again and that what keeps them alive in prison the hope of another opportunity to molest an innocent child they are sick cks,2
89665,user and sometimes these edgy bitch boys are not secretly soft good trope they are just straight up abusive this is very thin line to walk and dramione does not walk it well,2
18935,user user why don you release names of all our elected officials that have paid for silence for sexual assault claims done while in office with the fund designated for paying off claims ford does not know how got home maybe attack if happened was by who took her home,2
66188,user user user way to go david love it when someone can send the liberals into tessyfiy in the morning keep up the fight,2
20751,user user will now use the as to bring back if she not gone by,2
64091,user liar see clarence thomas confirmation this was never about the lie it was always delay tactic nothing more disgusting liberals and the game they call politics,2
32036,user user user user obama will be remembered as the man that destroy libya imagine if mi or cia give blm or antifa guns and wages war vs trump then they control the msm and say trump use chemical weapon to legalize their coup the blood is on obama hand,2
10460,user and they have some of the strictest gun control laws in the country as the saying goes if you ban guns only criminals will have them seems to be proving here go get them chicago,2
51687,user still better than spanish it so fucking boring and the teacher grades us based on how sexually active we are,2
51593,user there are more good people than criminals if the good people are armed the criminals won stand chance in the usa the cities with the highest violent crime rates are those with the strictest gun control the swiss are all armed and trained violent crime is rare,2
74446,user user antifa otherwise known as nazi brownshirts never thought of that comparison before lol it ironic that they re the one that call everyone else nazi for disagreeing with anything they say lol,2
76860,conservatives suddenly realize juvenile offenders deserve leniency the president regularly refers to teenage gang members as animals and has in the past called for imposing the death penalty on alleged teen rapists,2
48017,user yeahh tbh most that do are weirdos and think about sex in very weird way,2
30292,user the dems playing con game it must be antifa don you think,2
34111,user user user user oh thought you were the dream team minus sonja really you are the mean disgusting team minus sonja oh by the way dorinda leave sonja alone you are so jealous of sonja she is kind sweet and so much prettier than you get over it you drunk,2
29730,it will be hard to believe any female accusers ever again especially liberals who lie for personal and political gain,2
22986,user barf over the squishy self righteous source that the whole deal with tbc they re young and dumb history major conservatives who ve swallowed the sj bs and like to hand wave ll assume without further evidence prager is lame,2
96986,user yes comie communist pun intended we do and will emerge stronger when amp all ur cronies are put to death at gitmo we the people will indeed be stronger,2
88186,user user they on their bullshit,2
80969,user crazy people do not care what they use suppose you leftist who says to bad it was not gun sounds like you re disappointed he did not that way you can scream gun control,2
96180,user user user how convenient conservative dummy believes people are selectively unemployed conservatives always try to use this type of propaganda no facts just their warped conservative beliefs it very clear many conservatives like user don have the ability to learn or think,2
20777,user user user user user trump publicly lusted for his daughter and gop still elected him let stop pretending that morality or decency means jack shit to conservatives,2
26623,user user user so many issues facing australian voters but the single obsession of australian conservatives is bullying transgender children,2
15354,user user betty think women have been handed character assassination bomb to destroy men by the liberals and the feminists would hate to know these women represent me why wait all these years to report,2
40010,complacency kills vote in november,2
52515,user police state tyrant liberals love the word dangerous when gaslighting their sheep,2
49178,user its amazing that these demorats are elected to any public office their total disregard of the us constitution and due process is abhorrent they hung this woman out to dry and the woman refuses to come foward and its the conservatives fault,2
48531,user you conservatives want to talk about scandals really let get started if you have the balls let get busy you chickens,2
47943,user it also goes to show that all those so called news people that laughed at you are now eating crow how wonderful it is to watch the looney liberals squirm around like worms drowning in sunshine,2
89474,user user user user user user liberals are so sensitive that they ll believe the okay sign is racist,2
49298,user user user user user user user any critique of bernie objectively horrible record on gun control is met with he from rural state or he has from the nra as if give fuck why his record is horrible and then there this stupid shit,2
21106,user and people still buy their shit why,2
23116,user user gun control is not about public safety it about hating rednecks and social engineering,2
21315,user user user cashing in on the book bandwagon can not blame her love to throw their money at bullshit,2
45589,user user things had become easy for liberals during the obama administration liberals are screaming damn truth mean trump,2
57630,user user user user user user user user user user user user user user user user user user user user user user why do white liberals imagine white people have some power white people have been trained for generations not be racially aware white liberals are the most anti white racists know what power do you imagine white people have that other people do not,2
14616,user user user disclaimer my views do not necessarily reflect the views of our potus amp all conservatives ladies charged by nature to guard vagina,2
74924,user liberals are claustrophobic,2
59598,user know many too we liberals just do not feel the need to dance around waving them like the maga idiots,2
91907,user most liberals know deep down that it oppressive and misogynistic but that better than being racist islamophobe which is what you are according to liberals if you dare speak out against it this is how low the standard for debate is on topics like this,2
89959,user democrats are sick back off amp let our president trump continue to help all americans,2
78539,user user worst takes ever blatantly racist cartoon and your attempt at defense,2
38408,user user user they had conservatives silently tied up in the cellar for dexades they re livid we got out and now have voice in the white house ascend they want to put us back they re trying to silence us any way possible we need to burn them all in the midterms once and for all,2
72688,user the liberals will use whatever label they can to discredit people who disagree and or are threat to their agenda,2
84447,user shame on them willing to ruin good man over year old groping accusation she can not prove they re rabid liberals who do not want supreme court justice who will follow the constitution it all about politics shame,2
70566,user liberals with their lies again,2
99186,user user ll add one more did you realize that conservatives would decide that certain men should get pass for sexual assault,2
18097,smarter than he is would be fine he can punch me all he wants and it would not work and by the way this wealthy new yorker actually earned his money it was not gift from daddy jamie dimon jpm,2
95923,user user user user user what does it matter who vote for it the left who pushes for gun control yet portrays black men in music vids as violent gun users stfu lmao sleeping fools,2
