,negative,positive,total
affordable,15,2,17
afforded,1,1,2
afloat,1,0,1
afp,1,0,1
afraid,10,11,21
africa,4,2,6
african,6,3,9
africans,0,1,1
afte,1,0,1
after,127,71,198
aftermath,0,1,1
afterward,2,0,2
afterwards,3,0,3
ag,6,4,10
again,126,78,204
against,153,83,236
againstbthe,1,0,1
againtske,0,1,1
age,14,7,21
aged,4,0,4
agencies,3,3,6
agency,3,2,5
agenda,36,23,59
agendas,3,1,4
agent,4,3,7
agents,5,3,8
ages,3,0,3
aggers,1,0,1
aggie,1,0,1
aggrandizing,0,1,1
aggravate,0,1,1
aggression,1,1,2
aggressive,6,2,8
agholor,0,1,1
aging,2,0,2
agitated,0,1,1
ago,67,22,89
agree,60,25,85
agreeable,1,0,1
agreed,15,4,19
agreeds,0,1,1
agreeing,0,2,2
agreement,4,0,4
agrees,5,1,6
agressive,1,0,1
aguearo,1,0,1
agw,1,0,1
ah,6,3,9
aha,1,0,1
ahah,1,0,1
ahahaha,1,0,1
ahahahahahaha,1,0,1
ahead,11,6,17
ahh,3,1,4
ahha,1,0,1
ahhh,5,0,5
ahhhhhhh,1,0,1
ahhooo,0,1,1
ahole,1,1,2
ai,1,0,1
aid,3,3,6
aide,2,0,2
aides,0,1,1
aiding,1,1,2
aight,2,0,2
aikido,0,1,1
aim,5,1,6
aimed,2,1,3
aiming,3,1,4
aims,5,0,5
ain,15,20,35
ainge,1,0,1
aint,7,3,10
air,15,5,20
aired,1,0,1
airforce,0,1,1
airplane,2,0,2
airport,2,0,2
airtime,2,0,2
airwaves,1,0,1
airy,1,0,1
aisa,1,0,1
aishwarya,0,1,1
aisle,3,0,3
aj,3,0,3
ajsjjsjdkkdjdk,0,1,1
ajsvsnsksjsj,1,0,1
ak,1,0,1
aka,13,4,17
akal,1,0,1
akb,1,0,1
akimoto,1,0,1
akin,3,0,3
akkad,1,0,1
al,7,6,13
ala,1,0,1
alabama,1,0,1
alamo,0,2,2
alan,3,1,4
alana,0,1,1
alanna,3,0,3
alarm,2,0,2
alaska,2,0,2
alaye,0,1,1
albans,1,0,1
albeit,0,1,1
albert,0,1,1
alberta,1,0,1
album,2,5,7
albums,1,0,1
alcantara,1,0,1
alcatraz,1,0,1
alcohol,4,2,6
alcoholic,0,1,1
alderaan,1,0,1
alec,1,1,2
alejandro,1,0,1
alert,4,3,7
alerts,1,0,1
alex,15,5,20
alexander,1,0,1
alexis,1,0,1
algae,0,1,1
algorithm,1,0,1
ali,1,0,1
alia,0,2,2
alias,1,0,1
alien,3,0,3
alienate,2,0,2
alienated,0,1,1
alienating,1,0,1
aliens,8,2,10
align,4,1,5
aligned,4,1,5
aligns,1,0,1
alihan,1,0,1
alike,2,1,3
alina,1,0,1
alinsky,4,3,7
alinskyite,1,0,1
alive,18,6,24
all,750,515,1265
allaying,1,0,1
allegation,13,3,16
allegations,20,9,29
allege,1,0,1
alleged,4,6,10
allegedly,5,2,7
allergic,1,0,1
allergies,1,0,1
allergy,1,0,1
alleslev,6,0,6
alleslve,0,1,1
alleyway,0,1,1
alliance,0,1,1
allies,4,2,6
alligators,0,1,1
allison,1,0,1
alll,0,1,1
allocated,1,0,1
allow,23,15,38
allowance,0,1,1
allowed,23,14,37
allowing,9,0,9
allows,7,1,8
allready,0,1,1
allsup,0,2,2
allude,1,0,1
allusion,1,0,1
ally,2,1,3
almighty,1,0,1
almost,31,20,51
alone,31,11,42
along,19,15,34
alongside,2,0,2
alooot,1,0,1
alos,1,0,1
alot,3,3,6
aloud,1,0,1
alp,1,0,1
alpha,1,0,1
alphabet,0,1,1
already,81,46,127
alright,3,3,6
alrighty,1,0,1
als,2,0,2
also,176,83,259
alt,23,12,35
altar,1,0,1
alterando,0,1,1
altered,1,0,1
alternate,1,0,1
alternative,8,5,13
alternatives,2,0,2
altho,0,1,1
although,3,4,7
aluminum,1,0,1
alumn,0,1,1
alumni,0,1,1
always,146,51,197
alyssa,0,2,2
alzheimers,0,1,1
am,152,58,210
ama,1,0,1
amai,0,2,2
amara,1,0,1
amassed,1,0,1
amateur,1,0,1
amature,2,0,2
amazed,2,0,2
amazes,2,0,2
amazing,76,17,93
amazingly,2,2,4
amazon,2,2,4
ambassador,1,0,1
ambiguity,1,0,1
ambition,0,1,1
ambitious,6,1,7
ambrose,0,1,1
ambulance,1,1,2
ambulances,1,0,1
ambush,3,1,4
amd,1,1,2
ameican,0,1,1
amen,7,0,7
amenadiel,0,1,1
amendment,27,10,37
amendments,2,0,2
amends,1,0,1
america,114,73,187
american,79,50,129
americans,53,52,105
americas,2,0,2
amid,1,1,2
amidst,1,0,1
amir,2,0,2
amiright,0,1,1
amirite,1,0,1
amish,1,0,1
ammo,0,4,4
ammunition,3,0,3
amnesia,1,2,3
amnesty,1,0,1
amo,0,1,1
among,9,4,13
amongst,2,2,4
amorality,0,1,1
amorphous,1,0,1
amount,14,5,19
amounting,0,1,1
amounts,1,0,1
amp,398,279,677
ample,1,0,1
amputees,1,0,1
amrinder,0,1,1
amused,1,0,1
amusing,0,1,1
amy,6,1,7
an,438,268,706
anal,1,0,1
analog,0,1,1
analogy,2,0,2
analysis,5,1,6
analytica,1,0,1
analyzing,1,0,1
anarchist,4,1,5
anarchists,3,3,6
anarchy,2,0,2
anatomy,1,1,2
anc,0,1,1
ancaps,0,1,1
ancestors,0,3,3
anchor,1,0,1
ancient,1,5,6
ancom,1,0,1
and,3280,1894,5174
anderson,2,2,4
andover,1,0,1
andre,1,0,1
andrea,1,1,2
andreas,0,1,1
andrew,4,1,5
andrewboff,1,0,1
andrews,1,0,1
andriese,1,0,1
android,4,0,4
andy,7,1,8
anfield,1,0,1
ang,2,0,2
angeela,1,0,1
angel,12,0,12
angela,3,1,4
angelina,1,1,2
angels,2,0,2
anger,8,4,12
angie,2,0,2
angles,1,0,1
angling,2,0,2
anglo,2,0,2
anglophones,1,0,1
angry,10,8,18
angst,1,0,1
angy,1,0,1
animal,5,6,11
animals,4,8,12
animate,1,0,1
animated,0,1,1
animation,1,0,1
anime,4,3,7
animic,1,0,1
animosity,1,0,1
animus,1,0,1
anit,1,0,1
anita,2,4,6
anjali,1,0,1
ann,3,0,3
anna,3,0,3
anne,0,1,1
annette,0,1,1
annie,1,0,1
annnnnnnnnnnnnd,1,0,1
annointed,1,0,1
announce,6,0,6
announced,6,3,9
announcement,4,0,4
announcements,2,1,3
announces,3,0,3
announcing,1,0,1
annoy,1,0,1
annoyance,0,1,1
annoying,1,4,5
annual,3,1,4
annually,1,0,1
annum,1,0,1
anon,2,0,2
anons,2,0,2
anonymity,0,1,1
anonymous,14,5,19
anonymously,1,0,1
another,127,90,217
anqueefa,1,0,1
ans,1,0,1
answer,47,13,60
answered,5,1,6
answering,3,1,4
answers,6,2,8
ant,1,1,2
antagonist,1,0,1
anthem,6,0,6
anthony,6,0,6
anti,73,48,121
antiamerican,3,0,3
antibiotics,1,0,1
antichrist,0,1,1
antics,1,1,2
antidepressant,0,1,1
antideutsch,2,0,2
antifa,807,313,1120
antifascism,1,0,1
antifascist,3,0,3
antifascists,1,0,1
antifastock,1,0,1
antinatalist,1,0,1
antinationalist,1,0,1
antipo,1,0,1
antiquated,1,0,1
antisemite,3,0,3
antisemitic,1,0,1
antisemitism,5,0,5
antle,1,0,1
antonio,4,1,5
anumanu,0,1,1
anxiety,4,2,6
anxietys,1,0,1
anxious,1,0,1
any,208,120,328
anybody,9,6,15
anyday,1,0,1
anymore,24,13,37
anyone,84,70,154
anyother,1,0,1
anything,104,66,170
anytime,5,0,5
anyway,18,11,29
anyways,6,5,11
anywhere,9,4,13
ao,0,1,1
ap,4,0,4
aparachnik,1,0,1
apart,7,7,14
apartaments,0,1,1
apartheid,0,1,1
apartment,2,3,5
apartments,1,0,1
apathetic,1,0,1
apiece,0,1,1
apists,0,1,1
apne,1,0,1
apocalypse,0,1,1
apologetic,1,0,1
apologies,2,0,2
apologise,1,0,1
apologist,1,0,1
apologists,1,0,1
apologize,10,4,14
apologized,1,2,3
apologizing,1,2,3
apology,1,5,6
apon,0,1,1
app,3,2,5
appalled,3,0,3
appalling,1,1,2
apparantly,0,1,1
apparent,2,2,4
apparentl,0,1,1
apparently,23,10,33
appeal,4,1,5
appealed,0,1,1
appeals,1,0,1
appear,6,3,9
appearance,2,0,2
appeared,2,1,3
appearing,1,1,2
appears,5,4,9
appease,2,2,4
appeaser,1,0,1
appeasing,2,0,2
applaud,0,1,1
applauded,0,2,2
applauding,1,0,1
apple,2,5,7
applebee,1,0,1
apples,4,1,5
application,2,1,3
applications,1,0,1
applied,1,0,1
applies,4,1,5
apply,10,6,16
applying,1,0,1
appoint,1,1,2
appointed,4,3,7
appointee,1,0,1
appointees,2,1,3
appointment,7,1,8
appointments,2,0,2
appraisers,1,0,1
appreciate,15,4,19
appreciated,5,0,5
appreciates,1,0,1
appreciation,2,1,3
approach,5,1,6
approaches,1,0,1
approaching,1,1,2
appropiated,1,0,1
appropo,1,0,1
appropriate,4,0,4
appropriating,1,0,1
approval,3,0,3
approve,5,3,8
approved,5,3,8
approves,0,1,1
appt,0,1,1
april,1,0,1
apt,1,0,1
ar,4,10,14
arachnophobia,1,0,1
aran,1,0,1
arbiter,0,1,1
arbitrary,3,0,3
arbys,1,0,1
arc,2,0,2
arcane,0,1,1
archbishop,0,1,1
archetype,1,0,1
archetypes,1,0,1
archie,1,0,1
architect,1,0,1
architects,1,0,1
archived,1,0,1
are,2373,1281,3654
area,3,6,9
areas,9,1,10
aren,19,14,33
arenado,1,0,1
arent,3,1,4
argentborn,1,0,1
argento,1,0,1
arguable,1,0,1
arguably,1,0,1
argue,9,6,15
argued,0,1,1
arguement,1,0,1
arguing,12,7,19
argument,21,19,40
arguments,5,2,7
ari,1,0,1
ariana,3,1,4
arianna,1,0,1
aries,1,0,1
arizona,2,2,4
arkansas,1,1,2
arlene,1,0,1
arm,11,9,20
armageddon,1,1,2
armament,2,0,2
armbands,0,1,1
armchair,1,0,1
armed,20,7,27
arming,0,2,2
armor,0,2,2
armrest,1,0,1
arms,13,7,20
army,14,4,18
arnie,2,0,2
arnold,1,1,2
around,63,35,98
arquette,1,0,1
arrange,1,0,1
arranged,1,0,1
arrest,5,7,12
arrested,6,9,15
arresting,1,0,1
arrests,1,2,3
arrive,1,1,2
arrived,2,1,3
arrogance,2,3,5
arrogant,0,2,2
arrogantly,0,1,1
arron,1,0,1
arsehole,0,1,1
arsenal,1,0,1
art,6,4,10
arthur,1,0,1
article,21,10,31
articles,7,1,8
articulate,1,0,1
artificial,1,0,1
artist,3,3,6
artists,3,1,4
arts,2,0,2
artsy,1,0,1
as,683,387,1070
asa,0,1,1
asap,3,3,6
asb,0,1,1
asbestos,1,0,1
ascend,0,1,1
ascended,0,1,1
asdfghjkl,1,0,1
asf,2,1,3
asfuck,1,0,1
ash,1,0,1
ashame,0,2,2
ashamed,2,6,8
ashes,1,0,1
ashley,1,0,1
ashole,0,1,1
ashwariya,3,0,3
asia,2,1,3
asian,3,2,5
asians,3,0,3
aside,4,3,7
asinine,0,2,2
ask,61,20,81
asked,20,11,31
asking,37,12,49
asks,4,1,5
asl,1,0,1
asleep,4,0,4
asma,1,0,1
asmr,2,0,2
aspect,4,1,5
aspects,1,2,3
aspersions,1,0,1
asphalt,1,0,1
aspire,1,0,1
ass,27,156,183
assad,0,1,1
assange,0,1,1
assassin,1,0,1
assassinate,2,1,3
assassinating,0,1,1
assassination,3,3,6
assassinations,1,0,1
assassins,0,1,1
assault,36,29,65
assaulted,10,6,16
assaulting,3,2,5
assaults,2,1,3
assed,0,1,1
assembly,2,1,3
assert,1,0,1
asserting,1,0,1
assertions,1,0,1
asses,0,7,7
assess,1,0,1
assessment,1,0,1
assessments,1,0,1
asset,5,1,6
asshats,0,1,1
asshole,1,19,20
assholes,1,8,9
assign,1,0,1
assignment,1,0,1
assignments,1,0,1
assist,3,0,3
assistant,2,0,2
assisted,1,0,1
assisting,1,0,1
associate,0,1,1
associated,7,2,9
associates,3,0,3
association,4,0,4
associations,10,1,11
assualted,0,1,1
assulting,1,1,2
assume,15,8,23
assumed,1,2,3
assumes,2,0,2
assuming,6,2,8
assumption,1,1,2
assumptions,1,0,1
assurances,0,1,1
assure,3,0,3
astonishing,1,1,2
astounded,1,0,1
astronauts,1,0,1
astronomically,1,0,1
asu,1,0,1
asylum,1,0,1
at,498,277,775
ata,1,0,1
ate,8,4,12
atempted,1,0,1
atf,1,0,1
atheism,1,0,1
atheist,1,1,2
atheists,0,2,2
athens,0,1,1
athlete,4,1,5
athletes,0,1,1
athwart,1,0,1
atlanta,2,1,3
atlantic,1,1,2
atleast,3,0,3
atm,1,0,1
atmos,1,0,1
atmosphere,1,1,2
atone,2,0,2
atp,0,1,1
atrocious,1,0,1
atrocities,1,0,1
atsushi,2,0,2
att,1,0,1
attached,0,1,1
attack,39,24,63
attacked,14,7,21
attacker,1,0,1
attackers,1,0,1
attacking,12,14,26
attacks,16,10,26
attempt,14,10,24
attempted,4,5,9
attempting,4,4,8
attempts,5,3,8
attend,3,2,5
attended,3,0,3
attendees,1,0,1
attending,3,0,3
attention,28,18,46
attentive,1,0,1
attest,0,1,1
attested,0,1,1
attire,1,0,1
attitude,4,3,7
attitudes,1,0,1
attkisson,1,0,1
attlee,1,0,1
attn,1,0,1
attorney,7,3,10
attorneys,2,3,5
attract,1,0,1
attracted,2,0,2
attractive,2,0,2
attribute,1,0,1
atty,1,0,1
au,1,0,1
aubree,1,0,1
auburn,3,0,3
audible,2,0,2
audience,6,2,8
audiences,1,0,1
audio,2,0,2
audioslave,1,0,1
audrey,1,0,1
august,4,1,5
aum,1,0,1
aunt,5,0,5
auntie,1,0,1
aunty,1,0,1
aur,2,0,2
aura,1,0,1
aurora,1,0,1
aus,1,0,1
ause,0,1,1
aust,1,1,2
austerity,8,0,8
austin,5,0,5
australia,7,1,8
australian,4,4,8
australias,1,0,1
austria,1,0,1
authentic,1,0,1
author,4,1,5
authoritarian,3,6,9
authoritarianism,4,2,6
authoritarians,1,0,1
authoritative,1,0,1
authorities,2,0,2
authority,3,2,5
authorization,1,0,1
authorize,1,0,1
authorized,0,1,1
authors,1,0,1
autism,1,0,1
auto,1,1,2
autocratic,1,0,1
automatic,2,5,7
automatically,4,0,4
autos,1,0,1
autumn,1,1,2
available,12,0,12
avanetti,1,0,1
avatar,2,0,2
ave,1,0,1
avenatti,2,0,2
avengers,0,2,2
avenue,1,1,2
average,14,5,19
averages,1,0,1
avery,0,1,1
avg,1,0,1
avi,5,0,5
avocado,1,0,1
avoid,5,1,6
avoided,0,1,1
avoiding,0,1,1
avoids,1,0,1
avowed,1,0,1
avram,0,1,1
aw,6,0,6
awaits,1,0,1
awake,6,1,7
awaken,0,1,1
awakened,1,0,1
awakening,1,1,2
awakens,1,0,1
award,7,2,9
awarded,1,0,1
awards,2,2,4
aware,18,7,25
awareness,1,1,2
away,102,75,177
awb,2,0,2
awe,5,1,6
aweeee,1,0,1
awesome,51,12,63
awesomee,1,0,1
awesomeness,1,0,1
awful,10,11,21
awfully,1,1,2
awh,1,1,2
awhile,2,1,3
awkward,2,1,3
awone,1,0,1
aww,4,1,5
awwh,1,0,1
awww,2,0,2
awwwww,1,0,1
axe,0,1,1
axes,1,0,1
axis,1,0,1
ay,1,0,1
aye,1,1,2
ayers,1,0,1
ayumi,1,0,1
az,2,1,3
azeez,1,0,1
azz,0,1,1
ba,1,0,1
baaaaa,0,4,4
baaaaaaaa,1,0,1
baba,0,1,1
babble,2,0,2
babe,7,0,7
babes,1,0,1
babie,0,1,1
babies,11,13,24
baby,41,15,56
babygirl,0,1,1
babylonian,0,1,1
babysit,0,1,1
babysitting,1,0,1
bache,1,0,1
bachelor,2,1,3
back,221,98,319
backbenchers,1,0,1
backbone,1,1,2
backed,8,1,9
backers,0,1,1
backfield,1,0,1
backfire,2,1,3
backfires,1,1,2
background,7,8,15
backgrounds,1,0,1
backing,4,3,7
backlash,1,0,1
backlinks,1,0,1
backon,1,0,1
backpacks,1,0,1
backs,3,0,3
backside,0,1,1
backsides,0,1,1
backstabber,0,1,1
backstabbing,0,1,1
backtraced,1,0,1
backup,0,1,1
backward,1,0,1
backwards,1,1,2
backwood,0,1,1
backwoodsistan,0,1,1
bacon,2,0,2
bad,85,78,163
badass,2,3,5
badasses,1,0,1
bader,1,0,1
badge,2,0,2
badger,1,0,1
badges,1,0,1
badhai,1,0,1
badly,10,1,11
bae,0,1,1
baekhyun,1,0,1
baer,1,0,1
baff,1,0,1
bafoonicus,0,1,1
bag,7,5,12
bagel,1,0,1
baggers,1,0,1
bagging,1,0,1
bags,6,4,10
bah,0,1,1
bahut,1,0,1
bail,1,0,1
bailed,0,2,2
bailey,1,0,1
bailout,1,0,1
bait,2,2,4
baiter,0,3,3
baiters,1,0,1
baiting,1,0,1
baja,1,0,1
bake,2,1,3
baker,2,0,2
bakersfield,1,1,2
bakery,2,0,2
baking,1,0,1
bakkt,0,1,1
bal,1,0,1
balaam,0,1,1
balance,4,4,8
balanced,2,1,3
balances,1,0,1
bald,5,2,7
baldwin,1,1,2
bale,2,2,4
ball,10,4,14
ballerinas,1,0,1
ballgame,0,1,1
ballin,1,0,1
ballistic,2,1,3
balloon,1,0,1
ballot,4,2,6
ballots,1,0,1
ballroom,0,1,1
balls,5,7,12
baltimore,2,0,2
bam,2,0,2
bama,3,1,4
bamn,1,0,1
ban,23,10,33
bananas,0,1,1
banbury,1,0,1
band,4,4,8
bandana,1,0,1
bandit,1,0,1
bandwagon,1,3,4
bandwagonists,1,0,1
bang,2,0,2
bangers,0,1,1
banging,0,1,1
bangladesh,1,0,1
bangle,0,1,1
bangs,1,0,1
banished,1,0,1
banishing,0,1,1
bank,11,4,15
banked,1,0,1
banking,3,0,3
bankroll,0,1,1
bankrupt,2,4,6
bankrupted,0,2,2
banks,7,3,10
banned,20,3,23
banner,1,0,1
banners,1,0,1
banning,9,5,14
bano,2,0,2
banquet,1,0,1
bans,0,2,2
banter,0,1,1
baptist,0,2,2
bar,5,3,8
barack,2,2,4
barak,1,0,1
barbara,1,0,1
barbaric,0,1,1
barbarically,1,0,1
barbeque,0,1,1
barber,2,0,2
barbie,2,1,3
barbolack,1,0,1
barbz,1,0,1
bare,2,1,3
barely,2,2,4
barf,0,1,1
barfi,1,0,1
bargain,3,1,4
bargained,0,1,1
bariatric,1,0,1
bark,0,1,1
barking,2,0,2
barkley,1,0,1
barn,0,1,1
barnes,1,0,1
barometer,0,1,1
baron,1,1,2
barons,1,0,1
barrack,2,0,2
barracks,1,0,1
barred,2,0,2
barrel,2,2,4
barrelling,1,0,1
barret,1,0,1
barrett,3,1,4
barriers,1,0,1
barry,5,2,7
bars,1,2,3
bart,1,0,1
barun,1,0,1
barzal,1,0,1
base,14,8,22
baseball,5,1,6
based,29,6,35
baseless,0,1,1
baselessly,0,1,1
basement,5,3,8
bash,2,5,7
bashed,2,0,2
bashing,5,4,9
basic,8,5,13
basically,23,5,28
basing,1,0,1
basis,7,3,10
basket,0,2,2
basking,2,0,2
bastard,0,5,5
bastards,0,6,6
bat,2,3,5
batch,2,0,2
bath,1,2,3
bathing,1,0,1
bathroom,1,3,4
bathrooms,0,1,1
batman,2,2,4
baton,1,0,1
bats,0,1,1
batshit,1,2,3
batsht,1,0,1
batt,0,1,1
batter,1,0,1
battering,0,1,1
battery,1,0,1
batting,0,1,1
battle,7,5,12
battled,1,0,1
battlefield,0,1,1
battleground,1,0,1
battling,3,0,3
bauble,0,1,1
bay,1,0,1
baz,1,0,1
bb,4,4,8
bbc,5,2,7
bbcan,1,0,1
bc,27,13,40
bcashhhhhhhhhhconnectttt,1,0,1
bcos,0,1,1
bcoz,1,0,1
bcs,2,0,2
bcuz,2,0,2
bcz,1,0,1
bday,2,0,2
be,934,510,1444
bea,1,0,1
beach,4,1,5
beacon,3,0,3
beagle,1,0,1
beams,1,1,2
bean,1,1,2
beanie,0,1,1
beano,0,1,1
beans,1,0,1
bear,4,2,6
beard,1,0,1
bearded,0,1,1
bearing,1,0,1
bears,2,1,3
beast,2,5,7
beasts,0,2,2
beat,24,23,47
beatdown,0,1,1
beaten,2,1,3
beater,0,1,1
beatiful,1,0,1
beatin,0,1,1
beating,13,9,22
beatles,0,1,1
beats,1,1,2
beau,1,0,1
beauden,1,0,1
beautiful,88,10,98
beautifull,1,0,1
beauty,10,2,12
beaware,1,0,1
bec,0,1,1
became,4,3,7
becareful,1,0,1
becaus,1,0,1
because,368,227,595
becca,1,0,1
becka,0,1,1
become,40,26,66
becomes,5,4,9
becoming,12,8,20
becos,1,0,1
becoz,1,1,2
bed,5,5,10
bedfellow,1,0,1
bedroom,0,1,1
bedtime,1,0,1
bee,1,1,2
beeching,1,1,2
beef,2,3,5
beefing,1,0,1
been,214,137,351
beena,1,0,1
beer,3,4,7
beetle,0,1,1
before,109,41,150
beforehand,0,1,1
beg,0,1,1
began,4,1,5
begged,1,1,2
begging,5,1,6
begin,6,4,10
beginning,12,3,15
begins,4,2,6
begone,1,1,2
begun,1,0,1
behalf,4,3,7
behar,1,2,3
behave,2,2,4
behaved,1,2,3
behaves,1,2,3
behaving,1,0,1
behavior,17,11,28
behaviors,1,0,1
behaviour,3,4,7
behind,46,16,62
behinder,1,0,1
behold,1,1,2
beholden,1,0,1
beign,0,1,1
beijing,1,0,1
being,220,126,346
beings,5,14,19
bekhit,1,0,1
belang,0,1,1
belated,1,0,1
belch,1,0,1
belichick,1,0,1
beliees,1,0,1
belief,5,1,6
beliefs,9,6,15
believable,2,0,2
believe,144,109,253
believed,10,5,15
believer,1,0,1
believers,0,1,1
believes,14,14,28
believing,8,3,11
belifs,1,0,1
belittles,0,1,1
belive,1,0,1
beliw,1,0,1
bell,6,2,8
bella,1,0,1
bells,1,0,1
belly,1,3,4
beloeve,1,0,1
belong,5,7,12
belonging,0,1,1
belongs,5,6,11
beloved,4,1,5
below,4,3,7
belt,1,1,2
ben,5,6,11
bench,3,1,4
benchers,1,0,1
bend,2,0,2
bending,0,1,1
beneath,1,0,1
benedict,1,0,1
benefit,8,4,12
benefiting,1,0,1
benefits,6,4,10
benfica,0,1,1
bengals,0,2,2
bengazi,0,1,1
benghazi,2,0,2
benidorm,1,0,1
benifit,1,0,1
benign,0,2,2
benioff,1,0,1
benny,1,1,2
bens,1,0,1
bent,0,3,3
bentley,0,1,1
benz,1,0,1
berated,0,1,1
berating,3,1,4
beretta,1,0,1
berger,1,0,1
