,negative,positive,total
appearing,0,0,0
appears,2,1,3
appease,1,0,1
applaud,1,0,1
applauded,0,0,0
apple,3,0,3
apples,0,0,0
application,0,0,0
applies,1,0,1
apply,3,0,3
appoint,1,0,1
appointed,2,0,2
appointees,1,0,1
appreciate,1,1,2
appreciation,1,0,1
approach,0,0,0
approaching,1,0,1
approve,3,0,3
approved,0,1,1
approves,1,0,1
appt,1,0,1
ar,4,1,5
arbiter,1,0,1
arcane,1,0,1
archbishop,0,0,0
are,614,110,724
area,3,0,3
areas,0,1,1
aren,5,1,6
argue,2,1,3
argued,0,0,0
arguing,6,0,6
argument,10,0,10
arguments,2,0,2
ariana,0,0,0
arizona,1,0,1
arm,6,1,7
armageddon,0,0,0
armed,0,0,0
arming,1,1,2
armor,0,1,1
arms,2,1,3
army,1,0,1
arnold,0,0,0
around,17,6,23
arrest,5,0,5
arrested,7,0,7
arrests,0,0,0
arrive,0,1,1
arrogance,3,0,3
arrogant,2,0,2
arrogantly,0,0,0
arsehole,1,0,1
art,1,1,2
article,5,0,5
articles,1,0,1
artist,1,0,1
artists,0,1,1
as,210,39,249
asa,0,0,0
asap,2,1,3
asb,0,0,0
ascend,0,0,0
ascended,1,0,1
ashame,0,2,2
ashamed,3,0,3
ashole,1,0,1
asia,1,0,1
asian,1,1,2
aside,1,1,2
asinine,1,0,1
ask,10,1,11
asked,8,0,8
asking,5,4,9
asks,0,1,1
aspect,0,0,0
aspects,0,0,0
ass,108,9,117
assad,1,0,1
assange,1,0,1
assassinate,0,0,0
assassinating,0,0,0
assassination,2,0,2
assassins,0,0,0
assault,13,1,14
assaulted,3,1,4
assaulting,1,1,2
assaults,0,0,0
assembly,0,0,0
asses,2,1,3
asset,1,0,1
asshats,0,0,0
asshole,17,0,17
assholes,3,2,5
associate,0,0,0
associated,1,0,1
associations,1,0,1
assualted,1,0,1
assulting,1,0,1
assume,4,1,5
assumed,1,0,1
assuming,1,1,2
assumption,1,0,1
assurances,1,0,1
astonishing,1,0,1
at,136,24,160
ate,3,0,3
atheist,1,0,1
atheists,0,0,0
athens,0,0,0
athlete,1,0,1
athletes,1,0,1
atlanta,0,0,0
atlantic,1,0,1
atmosphere,0,0,0
atp,1,0,1
attached,1,0,1
attack,11,2,13
attacked,3,0,3
attacking,6,1,7
attacks,5,0,5
attempt,6,0,6
attempted,3,0,3
attempting,1,0,1
attempts,3,0,3
attend,1,0,1
attention,11,2,13
attest,1,0,1
attested,1,0,1
attitude,2,0,2
attorney,3,0,3
attorneys,2,0,2
audience,1,0,1
august,1,0,1
australia,0,0,0
australian,0,2,2
author,1,0,1
authoritarian,4,2,6
authoritarianism,2,0,2
authority,1,1,2
authorized,1,0,1
auto,0,0,0
automatic,3,1,4
autumn,1,0,1
avengers,0,0,0
avenue,1,0,1
average,3,0,3
avery,1,0,1
avoid,1,0,1
avoided,0,0,0
avoiding,0,0,0
avram,1,0,1
awake,1,0,1
awaken,0,0,0
awakening,1,0,1
award,0,0,0
awards,1,0,1
aware,1,0,1
awareness,0,0,0
away,44,12,56
awesome,6,0,6
awful,7,2,9
awfully,1,0,1
awhile,1,0,1
aww,1,0,1
axe,0,0,0
az,1,0,1
azz,1,0,1
baaaaa,0,4,4
baba,1,0,1
babie,1,0,1
babies,3,2,5
baby,11,0,11
babygirl,1,0,1
babylonian,0,1,1
babysit,1,0,1
bachelor,1,0,1
back,57,9,66
backbone,1,0,1
backed,0,0,0
backers,1,0,1
backfire,0,1,1
backfires,1,0,1
background,5,2,7
backing,0,1,1
backside,1,0,1
backsides,0,1,1
backstabber,1,0,1
backstabbing,1,0,1
backup,0,0,0
backwards,1,0,1
backwood,1,0,1
backwoodsistan,1,0,1
bad,36,5,41
badass,2,0,2
badly,1,0,1
bae,1,0,1
bafoonicus,1,0,1
bag,4,0,4
bags,4,0,4
bah,0,0,0
bailed,1,0,1
bait,1,1,2
baiter,3,0,3
bake,1,0,1
bakersfield,1,0,1
bakkt,1,0,1
balaam,0,0,0
balance,1,0,1
balanced,1,0,1
bald,1,1,2
bale,2,0,2
ball,4,0,4
ballistic,1,0,1
ballot,1,0,1
ballroom,0,0,0
balls,2,0,2
bama,1,0,1
ban,1,0,1
bananas,0,0,0
band,1,1,2
bandwagon,1,0,1
banging,0,0,0
bangle,1,0,1
banishing,1,0,1
bank,0,1,1
bankroll,1,0,1
bankrupt,2,1,3
bankrupted,1,1,2
banks,2,0,2
banned,0,2,2
banning,1,0,1
bans,0,1,1
banter,0,0,0
baptist,0,1,1
bar,2,0,2
barack,1,1,2
barbaric,1,0,1
barbeque,0,0,0
barbie,1,0,1
bare,1,0,1
barely,0,1,1
barf,0,0,0
bargain,1,0,1
bargained,0,1,1
bark,0,0,0
barn,1,0,1
barometer,1,0,1
baron,0,0,0
barrel,0,0,0
barrett,1,0,1
barry,1,0,1
bars,1,0,1
base,7,1,8
baseball,0,0,0
based,3,0,3
baselessly,0,0,0
basement,1,0,1
bash,3,1,4
bashing,2,0,2
basic,3,0,3
basically,4,0,4
basis,3,0,3
basket,1,0,1
bastard,5,0,5
bastards,2,1,3
bat,2,0,2
bath,1,0,1
bathroom,2,1,3
bathrooms,0,0,0
batman,2,0,2
bats,0,0,0
batshit,1,0,1
batt,1,0,1
battering,0,1,1
batting,0,1,1
battle,3,2,5
battlefield,1,0,1
bauble,0,0,0
bb,2,0,2
bbc,0,1,1
bc,6,1,7
bcos,1,0,1
be,288,38,326
beach,0,0,0
beams,1,0,1
bean,1,0,1
beanie,1,0,1
beano,1,0,1
bear,0,0,0
bears,1,0,1
beast,3,1,4
beasts,0,0,0
beat,16,1,17
beaten,1,0,1
beater,0,1,1
beatin,0,1,1
beating,4,2,6
beatles,1,0,1
beats,0,0,0
beautiful,5,0,5
beauty,1,0,1
bec,1,0,1
became,3,0,3
because,132,17,149
becka,1,0,1
become,7,1,8
becomes,2,1,3
becoming,2,1,3
becoz,1,0,1
bed,5,0,5
bedroom,0,0,0
bee,1,0,1
beeching,1,0,1
beef,1,0,1
been,69,11,80
beer,0,1,1
beetle,0,0,0
before,21,1,22
beg,1,0,1
began,1,0,1
begging,1,0,1
begin,3,0,3
beginning,1,1,2
begins,1,0,1
begone,1,0,1
behalf,3,0,3
behar,2,0,2
behave,1,0,1
behaved,2,0,2
behaves,2,0,2
behavior,6,1,7
behaviour,2,0,2
behind,8,3,11
behold,1,0,1
beign,0,0,0
being,66,13,79
beings,2,0,2
belang,1,0,1
beliefs,2,0,2
believe,54,9,63
believed,2,0,2
believers,0,0,0
believes,10,0,10
believing,2,0,2
belittles,0,0,0
bell,2,0,2
belly,3,0,3
belong,5,1,6
belonging,1,0,1
belongs,6,0,6
beloved,1,0,1
below,0,1,1
belt,0,0,0
ben,5,0,5
bench,1,0,1
bending,1,0,1
benefit,2,0,2
benefits,0,1,1
benfica,1,0,1
bengals,0,1,1
bengazi,1,0,1
benign,2,0,2
benny,0,0,0
bent,2,1,3
bentley,1,0,1
berated,0,0,0
berating,1,0,1
bergh,1,0,1
bergoglio,0,0,0
berkeley,0,0,0
berlin,0,2,2
bernie,5,0,5
berserk,1,0,1
bert,1,0,1
besides,3,2,5
best,14,2,16
bestie,1,0,1
besudes,0,0,0
bet,13,0,13
beta,1,1,2
bethesda,0,0,0
beto,8,2,10
betray,0,0,0
betrayal,0,0,0
betrayed,1,0,1
better,43,6,49
betty,0,0,0
between,3,0,3
beverly,0,0,0
beware,0,2,2
bewise,1,0,1
beyond,3,3,6
bezos,0,2,2
bf,1,0,1
bfa,0,1,1
bhadbhabie,1,0,1
bhadtranny,1,0,1
bhagwad,2,0,2
bhagwat,0,0,0
bhajpaa,1,0,1
bi,1,0,1
bias,2,0,2
biase,1,0,1
biased,4,0,4
biassed,0,1,1
bibi,0,1,1
bible,5,2,7
bidding,0,1,1
biden,4,0,4
big,39,3,42
bigger,4,1,5
biggest,8,1,9
biglly,1,0,1
bigly,0,0,0
bigot,6,0,6
bigoted,2,0,2
bigotry,0,2,2
bigots,3,1,4
bigwig,1,0,1
bike,1,0,1
bikini,1,0,1
bil,0,0,0
bill,10,1,11
billion,1,1,2
billionaires,0,0,0
billions,3,0,3
bills,1,1,2
billy,3,0,3
bing,0,0,0
bingo,1,0,1
bio,2,0,2
biochem,0,1,1
bipartisan,0,0,0
bipolar,0,1,1
birch,1,0,1
bird,1,1,2
birnbaum,1,0,1
birthday,2,0,2
bit,11,1,12
bitc,1,0,1
bitch,84,2,86
bitchass,1,0,1
bitches,6,0,6
bitchhh,1,0,1
bitchhhhhh,1,0,1
bitching,0,0,0
bitchy,1,0,1
bite,1,0,1
biter,1,0,1
biting,1,0,1
bitten,1,0,1
bitter,6,0,6
bitterness,1,0,1
bitxh,1,0,1
bizarre,2,0,2
bjp,1,0,1
blabber,1,0,1
black,22,7,29
blackhawk,0,1,1
blackmail,1,0,1
blackout,0,1,1
blacks,0,2,2
blades,0,1,1
blair,1,0,1
blame,15,3,18
blamed,0,0,0
blames,4,1,5
blaming,8,0,8
blanche,1,0,1
bland,1,0,1
blanket,1,0,1
blas,0,0,0
blasey,2,0,2
blast,1,0,1
blatant,3,2,5
blatantly,1,0,1
blathering,1,0,1
bless,5,0,5
blessings,1,0,1
blew,4,0,4
bliar,0,0,0
blight,2,0,2
blind,5,1,6
blinding,0,0,0
blindly,3,0,3
blisters,1,0,1
blm,4,1,5
bloated,1,0,1
blobs,0,0,0
block,12,1,13
blockchainful,1,0,1
blocked,3,0,3
blockers,0,0,0
blocking,3,0,3
blog,0,1,1
blond,2,0,2
blood,1,1,2
bloodflies,0,0,0
bloodline,0,0,0
bloodsport,1,0,1
bloodsuckers,1,0,1
bloody,3,1,4
bloomberg,2,0,2
blooming,0,0,0
blossoms,0,0,0
blot,1,0,1
blow,6,1,7
blowing,2,0,2
blown,1,0,1
blue,3,2,5
bluffing,1,0,1
blumenthal,1,0,1
bluntly,1,0,1
bluntness,1,0,1
blurted,0,1,1
blvd,1,0,1
bnf,1,0,1
bo,2,0,2
board,1,0,1
boarder,1,0,1
boat,1,0,1
boatload,1,0,1
bobby,1,0,1
boc,1,0,1
bodied,1,0,1
bodies,1,0,1
body,8,1,9
bodyguards,1,0,1
boi,2,0,2
boii,1,0,1
bolsheviks,1,0,1
bolt,1,0,1
bomb,4,1,5
bombed,1,0,1
bomber,0,1,1
bombshell,0,0,0
bone,4,0,4
boner,1,0,1
bono,9,0,9
bonus,1,0,1
boo,1,0,1
boobs,2,1,3
booger,1,0,1
book,10,1,11
booker,2,0,2
books,2,0,2
booming,0,0,0
booo,0,0,0
boop,1,0,1
boopboopboop,1,0,1
boot,1,0,1
booter,0,0,0
boots,2,0,2
booty,1,1,2
border,3,0,3
bordering,0,0,0
borders,2,2,4
bored,1,0,1
boring,8,1,9
boris,2,0,2
bork,0,0,0
born,5,0,5
borrow,1,0,1
borrower,1,0,1
borrowers,2,0,2
boruto,1,0,1
boss,5,0,5
boston,0,0,0
bot,1,0,1
both,21,1,22
bother,0,1,1
bothered,1,1,2
bothers,0,1,1
bots,2,0,2
bottles,0,0,0
bottom,5,2,7
bought,5,0,5
bounds,0,0,0
bout,2,0,2
bovine,1,0,1
bow,1,0,1
bowed,1,0,1
bowl,1,0,1
box,4,1,5
boxers,0,0,0
boxing,1,0,1
boy,12,3,15
boycott,3,0,3
boycotted,1,0,1
boycotting,1,2,3
boyfriend,2,0,2
boys,8,0,8
bracelets,1,0,1
brah,0,0,0
brain,12,1,13
braindead,1,0,1
brainer,1,0,1
brainless,0,1,1
brains,2,2,4
brainwashed,3,0,3
brainwashing,3,0,3
brainy,1,0,1
branches,0,0,0
brand,2,0,2
branded,1,0,1
brandin,1,0,1
brandon,1,0,1
brat,9,0,9
brats,0,0,0
brave,2,0,2
bravery,2,0,2
bravest,0,0,0
brazen,0,0,0
break,9,3,12
breakdown,1,0,1
breaker,0,1,1
breakers,0,0,0
breakfast,1,0,1
breaking,2,1,3
breaks,1,1,2
breatge,0,0,0
breath,2,0,2
breathing,1,0,1
breathtaking,1,0,1
breed,1,0,1
breeding,0,1,1
breitbart,1,0,1
breitbarters,1,0,1
brennan,3,0,3
bret,1,0,1
bretheren,1,0,1
brett,2,0,2
brexit,1,0,1
brexitshambles,0,1,1
brian,1,0,1
bribe,2,0,2
bribery,1,0,1
bribes,3,0,3
brick,1,0,1
bridge,1,0,1
bridget,1,0,1
bright,2,0,2
brighter,1,0,1
brilliant,2,0,2
bring,12,0,12
bringing,1,0,1
brink,0,1,1
brioche,1,0,1
britain,0,1,1
britches,0,0,0
british,0,1,1
britons,1,0,1
brittany,1,0,1
bro,4,0,4
broad,1,0,1
broadcast,0,2,2
broadcasting,1,0,1
brock,0,0,0
broderick,1,0,1
broke,2,1,3
broken,2,3,5
bronbron,1,0,1
brooklyn,1,0,1
broom,1,0,1
brothel,1,0,1
brother,6,0,6
brotherhood,0,0,0
brought,7,1,8
brown,4,2,6
browns,2,1,3
brownshirt,0,0,0
brownshirts,0,0,0
bruce,0,1,1
bruh,3,0,3
brushed,1,0,1
brutal,2,0,2
brutalist,0,0,0
brutality,1,1,2
brutally,0,1,1
bs,8,2,10
bta,1,0,1
btw,1,0,1
btwn,0,0,0
bubble,0,1,1
bubbler,1,0,1
bubbles,0,1,1
buck,2,0,2
bucket,1,0,1
buckle,0,0,0
bucky,1,0,1
bud,1,0,1
buddhist,1,0,1
buddies,2,0,2
buddy,3,1,4
budget,0,2,2
budging,1,0,1
buff,2,0,2
buffoons,0,0,0
bug,0,1,1
buggers,1,0,1
bugs,0,0,0
build,2,2,4
builders,1,0,1
building,5,2,7
built,2,0,2
bull,2,0,2
bullet,1,1,2
bulletproof,1,0,1
bullets,1,0,1
bullie,1,0,1
bullied,0,1,1
bullies,2,1,3
bullsh,2,0,2
bullshit,10,6,16
bullshitting,1,0,1
bully,7,1,8
bullying,3,0,3
bulshit,0,0,0
bum,2,0,2
bummer,0,0,0
bunch,4,2,6
bunk,1,0,1
bunny,0,2,2
burden,1,0,1
burdening,1,0,1
bureaucratic,0,0,0
burger,1,0,1
burka,0,0,0
burn,2,1,3
burned,1,1,2
burnett,1,0,1
burning,2,0,2
burns,1,0,1
bury,2,0,2
burying,1,0,1
bus,1,0,1
bush,0,0,0
bushie,1,0,1
bushmaster,0,0,0
business,14,1,15
businesses,1,0,1
busing,0,0,0
busted,1,0,1
busy,8,1,9
but,231,36,267
butch,1,0,1
butchering,0,1,1
butchers,0,1,1
butt,13,1,14
buttmunch,1,0,1
butts,0,0,0
buxom,1,0,1
buy,8,2,10
buying,3,0,3
buyout,0,1,1
buzzwords,0,0,0
bvs,2,0,2
bwaaaaa,1,0,1
bwaaaaaaa,1,0,1
bwahahahahaha,1,0,1
by,125,21,146
bye,4,0,4
bypass,0,1,1
bystanders,0,0,0
ca,3,0,3
cabinet,1,1,2
cable,1,0,1
cadaver,0,0,0
caed,1,0,1
cage,2,0,2
caged,1,0,1
cahoots,1,0,1
cake,0,0,0
cali,2,2,4
calif,1,0,1
california,3,2,5
call,31,5,36
called,22,5,27
calling,15,1,16
calls,6,3,9
calm,1,0,1
calves,0,0,0
cam,1,0,1
came,3,0,3
camera,1,0,1
cameron,1,0,1
cameto,1,0,1
camp,2,0,2
campaign,5,1,6
campaigning,0,1,1
campaigns,0,1,1
campaing,1,0,1
camps,1,0,1
campus,1,0,1
campuses,0,0,0
can,175,31,206
canada,13,1,14
canadian,2,1,3
canadians,1,0,1
cancel,1,0,1
cancer,3,0,3
candace,1,0,1
candiace,1,0,1
candidate,2,0,2
candidates,1,0,1
candy,1,0,1
canelo,1,0,1
cannabis,0,0,0
cannot,8,4,12
canny,0,0,0
cant,7,2,9
capability,1,0,1
capable,1,0,1
capacity,1,0,1
caper,0,0,0
capital,1,1,2
capitalism,1,0,1
capitalist,0,0,0
capitalize,1,0,1
capitol,0,0,0
capped,0,1,1
captain,1,0,1
caption,0,0,0
capture,0,0,0
captured,0,0,0
car,4,1,5
card,3,1,4
cardi,3,0,3
cardinal,1,0,1
cards,1,0,1
care,41,6,47
cared,2,0,2
career,9,1,10
careful,3,1,4
cares,8,2,10
caring,1,0,1
carl,1,0,1
carmen,1,0,1
carnage,1,0,1
carol,1,0,1
carole,2,0,2
carrey,5,0,5
carried,1,0,1
carry,2,0,2
cars,1,1,2
carson,1,0,1
cart,2,0,2
carte,1,0,1
cartel,2,1,3
cartels,2,0,2
carter,3,0,3
cartoon,2,0,2
cartoons,1,0,1
casa,1,0,1
case,11,2,13
cases,1,0,1
casey,2,0,2
cash,2,0,2
cashier,0,1,1
cashing,2,0,2
casket,1,0,1
cast,1,0,1
casting,2,0,2
casually,1,0,1
cat,1,0,1
catalonia,1,0,1
catch,1,0,1
catches,1,0,1
catching,1,1,2
categorized,0,0,0
cater,2,0,2
catholic,1,5,6
catholics,1,1,2
cats,1,0,1
catty,1,0,1
caucasian,0,0,0
caught,1,0,1
cause,25,4,29
caused,1,2,3
causes,1,0,1
causing,1,0,1
cavaliers,1,0,1
cavanagh,0,0,0
cayde,0,1,1
caymans,1,0,1
cbc,0,3,3
cbs,2,0,2
cdc,0,0,0
cealrly,1,0,1
cear,0,0,0
ceiling,1,0,1
celebrate,1,0,1
celebrates,0,1,1
celebrating,0,0,0
celebration,1,0,1
celebrities,0,0,0
celebrity,1,0,1
cell,1,0,1
cellar,0,0,0
cells,0,0,0
censor,0,1,1
censored,0,0,0
censoring,0,0,0
censorship,1,1,2
central,0,1,1
centrism,1,0,1
centrist,2,0,2
centrists,0,0,0
centuries,0,0,0
century,1,2,3
ceo,2,0,2
certain,4,0,4
certainly,2,1,3
cfo,1,0,1
ch,1,0,1
chained,0,0,0
chair,2,0,2
chairs,1,0,1
challenge,1,0,1
challenged,1,0,1
challenger,1,0,1
challengers,1,0,1
chamber,2,0,2
champ,1,0,1
champagne,1,0,1
champion,0,0,0
championship,0,0,0
chan,0,0,0
chance,9,0,9
chances,1,0,1
change,18,1,19
changed,2,0,2
changes,1,0,1
changing,1,0,1
channel,1,1,2
chant,1,0,1
chaos,1,0,1
chaplain,0,0,0
char,2,0,2
character,13,0,13
characterizing,0,0,0
charade,2,0,2
charge,1,1,2
charged,3,0,3
charges,2,0,2
charity,1,0,1
charlie,0,1,1
charms,0,0,0
charter,0,0,0
charts,1,0,1
chaser,1,0,1
chasing,2,0,2
chat,1,0,1
chauffeur,1,0,1
cheap,4,0,4
cheapen,1,0,1
cheat,0,0,0
cheater,2,0,2
cheating,1,1,2
check,7,0,7
checked,1,1,2
checkmarks,0,1,1
checks,5,1,6
cheeks,1,0,1
cheepika,1,0,1
cheer,1,0,1
cheerleader,2,0,2
cheery,0,1,1
cheese,2,0,2
cheesy,1,0,1
chelsea,1,0,1
chemical,0,0,0
chequers,1,0,1
cher,3,0,3
cherry,0,1,1
cherrypicks,1,0,1
chess,2,0,2
chest,1,0,1
chewing,1,0,1
chicago,8,5,13
chicanery,0,0,0
chicken,4,0,4
chickens,0,0,0
chicks,1,0,1
chickschumer,1,0,1
chief,2,0,2
child,19,5,24
childhood,1,0,1
childish,2,0,2
children,10,5,15
chill,1,0,1
chin,1,0,1
china,4,3,7
chinese,3,1,4
chinless,1,0,1
chip,1,0,1
chips,1,0,1
chiselchest,1,0,1
chittlerings,0,0,0
chloe,1,0,1
chlorine,1,0,1
chocker,1,0,1
choice,2,2,4
choices,0,0,0
chokes,1,0,1
choking,0,0,0
choose,4,0,4
chop,1,0,1
chos,0,0,0
chose,2,0,2
chosen,2,0,2
chowing,0,0,0
chris,5,0,5
christ,5,0,5
christi,0,2,2
christian,4,0,4
christians,3,1,4
christine,3,0,3
christmas,2,0,2
chuck,3,0,3
chuds,1,0,1
chunky,0,0,0
church,1,8,9
churches,0,0,0
cia,2,2,4
cider,0,0,0
cincinnati,0,1,1
cincy,0,0,0
cinnamon,1,0,1
circles,0,0,0
circulation,0,0,0
circumstance,0,1,1
circumstances,1,0,1
circus,1,1,2
cite,0,1,1
cities,3,2,5
citing,1,0,1
citizen,3,2,5
citizenry,1,0,1
citizens,5,4,9
citizenship,0,1,1
city,3,0,3
civil,3,0,3
civility,0,0,0
civilization,1,0,1
civilized,1,0,1
ck,1,1,2
cking,0,0,0
cks,0,0,0
claim,7,2,9
claiming,4,0,4
claims,6,2,8
clarence,0,0,0
clarification,1,0,1
clarify,1,0,1
clarifying,1,0,1
clarita,1,0,1
clasping,1,0,1
class,7,1,8
classes,2,0,2
classic,1,0,1
classical,2,0,2
classified,1,0,1
classless,1,0,1
claustrophobic,0,0,0
clean,3,1,4
cleaning,1,0,1
cleanse,0,1,1
cleansed,0,1,1
clear,8,1,9
clearance,2,0,2
clearly,10,4,14
clergy,0,0,0
cleveland,1,0,1
clever,2,0,2
click,2,0,2
client,1,0,1
clients,1,0,1
climate,2,0,2
climb,0,0,0
climbing,1,0,1
climbs,1,0,1
cling,0,1,1
clinging,1,0,1
clinton,13,1,14
clip,1,0,1
clone,1,0,1
close,7,2,9
closely,1,0,1
closer,3,0,3
