,negative,positive,total
absence,1,0,1
abso,1,1,2
absolute,1,5,6
absolutely,5,22,27
abstinence,0,1,1
absurd,0,1,1
abt,0,1,1
abundance,0,1,1
abuse,6,14,20
abused,1,6,7
abuser,0,4,4
abusers,0,3,3
abusing,0,1,1
abusive,1,5,6
abusuve,0,1,1
abysmal,0,1,1
abyss,0,1,1
aca,0,1,1
acc,0,2,2
accept,2,9,11
acceptable,2,3,5
accepting,0,1,1
accepts,0,1,1
access,2,8,10
accessories,0,1,1
accessory,0,1,1
accident,1,4,5
accidental,1,0,1
accomplished,1,0,1
accomplishment,0,1,1
accomplishments,0,3,3
according,1,7,8
accordingly,0,2,2
account,1,5,6
accountability,0,2,2
accountable,0,9,9
accounts,0,5,5
acct,0,2,2
accurate,1,1,2
accurately,0,1,1
accusation,1,8,9
accusations,1,9,10
accuse,0,6,6
accused,0,7,7
accuser,1,5,6
accusers,0,3,3
accuses,0,2,2
accusing,2,4,6
achichincle,0,1,1
ack,0,1,1
acknowledge,0,3,3
acknowledges,1,0,1
acknowledging,0,1,1
aclu,0,1,1
acorn,0,1,1
acorns,0,1,1
acosta,0,1,1
acquiring,1,0,1
across,0,3,3
act,2,22,24
acta,0,1,1
acted,1,3,4
acting,1,12,13
action,0,4,4
actions,1,11,12
active,1,6,7
actively,0,2,2
activist,0,8,8
activists,2,4,6
activities,0,1,1
actor,0,6,6
actors,1,0,1
actress,1,0,1
acts,0,2,2
actual,1,10,11
actuality,0,1,1
actually,5,40,45
actully,1,0,1
acussed,0,1,1
ad,0,4,4
adam,0,2,2
add,1,3,4
added,0,4,4
addict,0,2,2
addicted,0,3,3
addiction,1,2,3
addicts,0,1,1
adding,0,1,1
address,2,4,6
addressed,0,1,1
addressing,0,2,2
adds,0,1,1
adhere,0,1,1
admendment,0,1,1
admin,0,2,2
administer,0,1,1
administration,2,10,12
admins,0,1,1
adminstrator,0,1,1
admirable,1,0,1
admiration,0,1,1
admire,0,1,1
admit,0,12,12
admits,0,1,1
admitted,0,2,2
admitting,0,2,2
adorable,0,1,1
ads,1,0,1
adult,0,4,4
adulterers,0,1,1
adulting,0,1,1
adults,0,4,4
advance,0,1,1
advantage,1,4,5
adventures,0,1,1
adversaries,0,1,1
advertise,0,1,1
advertisement,0,1,1
advice,0,1,1
advisors,0,1,1
advocate,0,4,4
advocates,1,2,3
advocating,1,3,4
af,2,2,4
afe,0,1,1
affair,0,1,1
affairs,0,1,1
affect,1,0,1
affected,0,2,2
affection,0,1,1
affects,1,3,4
affluent,0,1,1
afford,0,2,2
affordable,1,1,2
afforded,0,1,1
afraid,1,10,11
africa,0,2,2
african,0,3,3
africans,0,1,1
after,9,62,71
aftermath,0,1,1
ag,1,3,4
again,4,74,78
against,7,76,83
againtske,0,1,1
age,1,6,7
agencies,0,3,3
agency,0,2,2
agenda,1,22,23
agendas,0,1,1
agent,0,3,3
agents,0,3,3
aggrandizing,0,1,1
aggravate,0,1,1
aggression,0,1,1
aggressive,0,2,2
agholor,0,1,1
agitated,0,1,1
ago,1,21,22
agree,3,22,25
agreed,0,4,4
agreeds,0,1,1
agreeing,0,2,2
agrees,0,1,1
agsessions,0,1,1
ah,1,2,3
ahead,0,6,6
ahh,0,1,1
ahhooo,0,1,1
ahole,0,1,1
ai,0,1,1
aid,0,3,3
aides,1,0,1
aiding,0,1,1
aikido,0,2,2
aim,1,0,1
aimed,0,1,1
aiming,0,1,1
ain,8,12,20
aint,0,3,3
air,0,5,5
airforce,0,1,1
aishwarya,0,1,1
ajsjjsjdkkdjdk,0,1,1
aka,0,4,4
al,1,4,5
alamo,0,2,2
alan,0,1,1
alana,0,1,1
alaye,0,1,1
albeit,0,1,1
albert,0,1,1
album,0,5,5
alcohol,1,1,2
alcoholic,0,1,1
alec,0,1,1
alert,1,2,3
alex,1,4,5
algae,0,1,1
alia,0,2,2
alienated,0,1,1
aliens,0,2,2
align,0,1,1
aligned,0,1,1
alike,0,1,1
alinsky,0,3,3
alive,1,5,6
all,50,465,515
allegation,0,3,3
allegations,1,8,9
alleged,0,6,6
allegedly,2,0,2
alleslve,0,1,1
alleyway,1,0,1
alliance,1,0,1
allies,0,2,2
alligators,0,1,1
alll,0,1,1
allow,1,14,15
allowance,1,0,1
allowed,1,13,14
allows,0,1,1
allready,0,1,1
allsup,0,2,2
ally,0,1,1
almost,3,17,20
alone,0,11,11
along,1,14,15
alot,0,3,3
alphabet,0,1,1
already,5,41,46
alright,0,3,3
also,5,78,83
alt,2,10,12
alterando,0,1,1
alternative,0,5,5
altho,0,1,1
although,0,4,4
altright,0,1,1
alumn,0,1,1
alumni,0,1,1
always,3,48,51
alyssa,0,2,2
alzheimers,0,1,1
am,13,44,57
amai,0,2,2
amazing,0,17,17
amazingly,0,2,2
amazon,0,2,2
ambition,0,1,1
ambitious,0,1,1
ambrose,0,1,1
ambulance,0,1,1
ambush,0,1,1
amd,0,1,1
ameican,0,1,1
amenadiel,0,1,1
amendment,1,9,10
america,2,73,75
americafirst,1,4,5
american,2,49,51
americans,6,46,52
amid,0,1,1
amiright,0,1,1
ammo,1,3,4
amnesia,0,2,2
amo,0,1,1
among,0,4,4
amongst,0,2,2
amorality,0,1,1
amount,1,4,5
amounting,0,1,1
amp,28,251,279
amrinder,0,1,1
amusing,0,1,1
amy,0,1,1
an,29,239,268
analog,1,0,1
analysis,0,1,1
anarchist,0,1,1
anarchists,0,3,3
anatomy,0,1,1
anc,0,1,1
ancaps,0,1,1
ancestors,1,2,3
ancient,1,4,5
and,160,1734,1894
anderson,0,2,2
andrea,0,1,1
andreas,0,1,1
andrew,0,1,1
andy,0,1,1
angela,0,1,1
angelina,0,1,1
anger,0,4,4
angry,0,8,8
animal,1,5,6
animalcruelty,0,1,1
animals,1,7,8
animated,0,1,1
anime,1,2,3
anita,0,4,4
annasourpuss,0,1,1
anne,0,1,1
annette,0,1,1
announced,1,2,3
announcements,1,0,1
annoyance,0,1,1
annoying,0,4,4
annual,0,1,1
anonymity,0,1,1
anonymous,0,5,5
another,7,83,90
answer,1,12,13
answered,1,0,1
answering,0,1,1
answers,0,2,2
ant,0,1,1
anti,4,44,48
antiamerican,0,1,1
antichrist,0,1,1
antics,0,1,1
antidepressant,0,1,1
antifa,22,306,328
antifagoons,0,1,1
antifagr,0,1,1
antinazigr,0,1,1
antisemetic,0,2,2
antonio,0,1,1
anumanu,0,1,1
anxiety,1,1,2
any,7,113,120
anybody,0,6,6
anymore,2,11,13
anyone,5,65,70
anything,7,59,66
anyway,3,8,11
anyways,0,5,5
anywhere,0,4,4
ao3,1,0,1
apart,1,6,7
apartaments,0,1,1
apartheid,0,1,1
apartment,2,1,3
apiece,0,1,1
apists,0,1,1
apocalypse,0,1,1
apologize,1,3,4
apologized,0,2,2
apologizing,0,2,2
apology,0,5,5
apon,0,1,1
app,0,2,2
appalling,0,1,1
apparantly,0,1,1
apparent,0,2,2
apparentl,1,0,1
apparently,1,9,10
appeal,0,1,1
appealed,0,1,1
appear,0,3,3
appeared,0,1,1
appearing,0,1,1
appears,0,4,4
appease,0,2,2
appeasement,1,0,1
applaud,0,1,1
applauded,0,2,2
apple,0,5,5
apples,0,1,1
application,0,1,1
applies,0,1,1
apply,0,6,6
appoint,0,1,1
appointed,0,3,3
appointees,0,1,1
appointment,1,0,1
appreciate,0,4,4
appreciation,0,1,1
approach,0,1,1
approaching,0,1,1
approve,0,3,3
approved,1,2,3
approves,0,1,1
appt,0,1,1
ar,2,4,6
ar15,0,4,4
arbiter,0,1,1
arcane,0,1,1
archbishop,0,1,1
are,101,1163,1264
area,0,6,6
areas,0,1,1
aren,2,29,31
arent,1,0,1
argue,2,4,6
argued,0,1,1
arguing,0,7,7
argument,1,18,19
arguments,0,2,2
ariana,0,1,1
arizona,0,2,2
arkansas,1,0,1
arm,0,9,9
armageddon,0,1,1
armbands,1,0,1
armed,2,5,7
arming,0,2,2
armor,0,2,2
arms,2,5,7
army,0,4,4
arnold,0,1,1
around,1,34,35
arrest,0,7,7
arrested,1,8,9
arrests,0,2,2
arrive,0,1,1
arrived,1,0,1
arrogance,0,3,3
arrogant,0,2,2
arrogantly,0,1,1
arsehole,0,1,1
art,2,2,4
article,0,10,10
articles,0,1,1
artist,2,1,3
artists,0,1,1
as,35,352,387
asa,0,1,1
asap,0,3,3
asb,0,1,1
ascend,0,1,1
ascended,0,1,1
asf,1,0,1
ashame,0,2,2
ashamed,1,5,6
ashole,0,1,1
asia,0,1,1
asian,0,2,2
aside,0,3,3
asinine,0,2,2
ask,1,19,20
askally,0,1,1
asked,1,10,11
asking,1,11,12
asks,0,1,1
aspect,0,1,1
aspects,0,2,2
ass,24,132,156
assad,0,1,1
assange,0,1,1
assassinate,0,1,1
assassinating,0,1,1
assassination,0,3,3
assassins,0,1,1
assault,3,26,29
assaulted,0,6,6
assaulting,0,2,2
assaults,0,1,1
assed,1,0,1
assembly,0,1,1
asses,1,6,7
asset,0,1,1
asshats,0,1,1
asshole,2,17,19
assholes,0,8,8
associate,0,1,1
associated,0,2,2
associations,0,1,1
assualted,0,1,1
assulting,0,1,1
assume,0,8,8
assumed,1,1,2
assuming,0,2,2
assumption,0,1,1
assurances,0,1,1
astonishing,0,1,1
at,35,242,277
ate,0,4,4
atheist,0,1,1
atheists,0,2,2
athens,0,1,1
athlete,0,1,1
athletes,0,1,1
atlanta,0,1,1
atlantic,0,1,1
atmosphere,0,1,1
atp,0,1,1
attached,0,1,1
attack,2,22,24
attacked,0,7,7
attacking,0,14,14
attacks,0,10,10
attempt,1,9,10
attempted,1,4,5
attempting,2,2,4
attempts,0,3,3
attend,0,2,2
attention,3,15,18
attest,0,1,1
attested,0,1,1
attitude,1,2,3
attorney,0,3,3
attorneys,0,3,3
audience,0,2,2
august,0,1,1
ause,1,0,1
aust,1,0,1
australia,0,2,2
australian,0,4,4
author,0,1,1
authoritarian,0,6,6
authoritarianism,0,2,2
authority,0,2,2
authorized,0,1,1
auto,0,1,1
automatic,0,5,5
autumn,0,1,1
avengers,1,1,2
avenue,0,1,1
average,1,4,5
avery,0,1,1
avfc,0,1,1
avoid,0,1,1
avoided,0,1,1
avoiding,0,1,1
avram,0,1,1
awake,0,1,1
awaken,0,1,1
awakening,0,1,1
award,1,1,2
awards,0,2,2
aware,1,6,7
awareness,0,1,1
away,5,70,75
awe,1,0,1
awesome,1,11,12
awful,0,11,11
awfully,0,1,1
awh,1,0,1
awhile,0,1,1
awkward,1,0,1
aww,0,1,1
awww,1,0,1
axe,0,1,1
aye,1,0,1
az,0,1,1
azz,0,1,1
b4,0,3,3
baaaaa,0,4,4
baba,0,1,1
babie,0,1,1
babies,1,12,13
baby,1,14,15
babygirl,0,1,1
babylonian,0,1,1
babysit,0,1,1
bachelor,0,1,1
back,6,92,98
backbone,0,1,1
backed,0,1,1
backers,0,1,1
backfire,0,1,1
backfires,0,1,1
background,1,7,8
backing,1,2,3
backside,0,1,1
backsides,0,1,1
backstabber,0,1,1
backstabbing,0,1,1
backtheblue,0,1,1
backup,0,1,1
backwards,0,1,1
backwood,0,1,1
backwoodsistan,0,1,1
bad,11,67,78
badass,0,3,3
badly,0,1,1
bae,0,1,1
bafoonicus,0,1,1
bag,0,5,5
bags,0,4,4
bah,0,1,1
bailed,0,2,2
bait,0,2,2
baiter,0,3,3
bake,0,1,1
bakersfield,0,1,1
bakkt,0,1,1
balaam,0,1,1
balance,0,4,4
balanced,0,1,1
bald,0,2,2
baldwin,1,0,1
bale,0,2,2
ball,0,4,4
ballgame,1,0,1
ballistic,0,1,1
ballot,0,2,2
ballroom,0,1,1
balls,1,6,7
baltimoreriots,0,1,1
bama,0,1,1
ban,2,8,10
bananas,0,1,1
band,0,4,4
bandwagon,0,3,3
bangers,1,0,1
banging,0,1,1
bangle,0,1,1
banishing,0,1,1
bank,2,2,4
bankroll,0,1,1
bankrupt,0,4,4
bankrupted,0,2,2
banks,0,3,3
banned,1,2,3
banning,0,5,5
bans,0,2,2
banter,0,2,2
baptist,0,2,2
bar,0,3,3
barack,0,2,2
barbaric,0,1,1
barbeque,0,1,1
barbie,0,1,1
barbiedreamsvideo,1,0,1
bare,0,1,1
barely,1,1,2
barf,0,1,1
bargain,0,1,1
bargained,0,1,1
bark,0,1,1
barn,0,1,1
barometer,0,1,1
baron,0,1,1
barrel,0,2,2
barrett,0,1,1
barry,0,2,2
bars,1,1,2
base,0,8,8
baseball,0,1,1
based,1,5,6
baseless,1,0,1
baselessly,0,1,1
basement,1,2,3
bash,1,4,5
bashing,1,3,4
bashthefash,0,1,1
basic,0,5,5
basically,0,5,5
basis,0,3,3
basket,0,2,2
bastard,0,5,5
bastards,0,6,6
bat,0,3,3
bath,0,2,2
bathroom,0,3,3
bathrooms,0,1,1
batman,0,2,2
bats,0,1,1
batshit,0,2,2
batt,0,1,1
battering,0,1,1
batting,0,1,1
battle,0,5,5
battlefield,0,1,1
bauble,0,1,1
bb,0,4,4
bb20,0,1,1
bbc,1,2,3
bbuk,0,1,1
bc,2,11,13
bcos,0,1,1
be,37,472,509
be4,0,1,1
beach,0,1,1
beams,0,1,1
bean,0,1,1
beanie,0,1,1
beano,0,1,1
bear,0,2,2
bearded,1,0,1
bears,0,1,1
beast,1,4,5
beasts,0,2,2
beat,2,21,23
beatdown,1,0,1
beaten,0,1,1
beater,0,1,1
beatin,0,1,1
beating,0,9,9
beatles,0,1,1
beats,0,1,1
beautiful,5,5,10
beauty,1,1,2
bec,0,1,1
became,0,3,3
because,19,208,227
becka,0,1,1
become,3,23,26
becomes,0,4,4
becoming,1,7,8
becoz,0,1,1
bed,0,5,5
bedroom,0,1,1
bee,0,1,1
beeching,0,1,1
beef,2,1,3
been,19,118,137
beer,0,4,4
beetle,0,1,1
beeto,1,0,1
before,5,36,41
beforehand,1,0,1
beg,0,1,1
began,0,1,1
begged,1,0,1
begging,0,1,1
begin,1,3,4
beginning,1,2,3
begins,0,2,2
begone,0,1,1
behalf,0,3,3
behar,0,2,2
behave,1,1,2
behaved,0,2,2
behaves,0,2,2
behavior,2,9,11
behaviour,0,4,4
behind,2,14,16
behold,0,1,1
beign,0,1,1
being,20,106,126
beings,0,14,14
belang,0,1,1
belief,1,0,1
beliefs,0,6,6
believe,7,102,109
believed,0,5,5
believers,0,1,1
believes,0,14,14
believing,0,3,3
belittles,0,1,1
bell,0,2,2
belly,0,3,3
belong,0,7,7
belonging,0,1,1
belongs,0,6,6
beloved,0,1,1
below,1,2,3
belt,0,1,1
ben,0,6,6
bench,0,1,1
bending,0,1,1
beneathhumanity,0,1,1
benefit,1,3,4
benefits,2,2,4
benfica,0,1,1
bengals,0,2,2
bengazi,0,1,1
benign,0,2,2
benny,0,1,1
bent,0,3,3
bentley,0,1,1
berated,0,1,1
berating,0,1,1
bergh,0,1,1
bergoglio,0,1,1
berkeley,1,2,3
berlin,0,2,2
bernie,2,8,10
berniernation,0,1,1
berserk,0,2,2
bert,0,3,3
beside,1,0,1
besides,0,5,5
best,2,24,26
bestfriend,1,0,1
bestie,0,1,1
bestpres45,0,1,1
bestuseqwant,0,1,1
besudes,0,1,1
bet,1,21,22
beta,0,3,3
bethesda,0,1,1
beto,0,17,17
betonotfortexas,0,1,1
betray,0,1,1
betrayal,0,2,2
betrayed,0,1,1
better,8,76,84
betty,0,1,1
between,0,7,7
beverly,0,1,1
beware,0,2,2
bewise,0,1,1
beyond,0,8,8
bezos,0,2,2
bf,0,1,1
bfa,0,1,1
bhadbhabie,0,1,1
bhadtranny,0,1,1
bhagwad,0,2,2
bhagwat,0,1,1
bhajpaa,0,1,1
bhakt,2,0,2
bi,0,1,1
bias,0,7,7
biase,0,1,1
biased,0,6,6
biassed,0,1,1
bibi,0,1,1
bible,1,7,8
bidding,0,1,1
biden,0,8,8
big,3,58,61
bigger,0,6,6
biggest,1,11,12
biglly,0,1,1
bigly,0,2,2
bigot,0,6,6
bigoted,0,3,3
bigotry,0,4,4
bigots,2,5,7
bigstuff,0,1,1
bigwig,0,1,1
bike,0,1,1
bikini,0,1,1
bil,0,1,1
bill,3,23,26
billion,0,3,3
billionaires,0,2,2
billions,0,3,3
bills,0,3,3
billy,1,3,4
bimbos,1,0,1
bing,0,1,1
bingbing,1,0,1
bingo,0,1,1
bio,0,2,2
biochem,0,1,1
bipartisan,0,1,1
bipolar,0,1,1
birch,0,1,1
bird,0,2,2
birnbaum,0,1,1
birth,2,0,2
birthday,0,2,2
bisca,1,0,1
bit,2,18,20
bitc,1,1,2
bitch,6,92,98
bitchass,0,1,1
bitchc,1,0,1
bitches,0,14,14
bitchhh,0,1,1
bitchhhhhh,0,1,1
bitching,0,1,1
bitchy,0,1,1
bite,0,1,1
biter,0,1,1
biting,0,1,1
bitten,0,1,1
bitter,1,8,9
bitterness,0,1,1
bitxh,0,1,1
bizarre,0,2,2
bjp,0,1,1
blabber,0,1,1
black,0,72,72
blackexcellence,0,1,1
blackhawk,0,1,1
blacklivesmatter,0,3,3
blackmail,0,2,2
blackout,0,2,2
blacks,1,7,8
blades,0,1,1
blair,0,2,2
blake,1,0,1
blame,2,29,31
blamed,0,1,1
blames,0,6,6
blaming,0,9,9
blanche,0,1,1
bland,0,1,1
blanket,0,2,2
blasey,0,2,2
blast,0,1,1
blasé,0,1,1
blatant,0,7,7
blatantly,0,2,2
blathering,0,1,1
bless,1,6,7
blessing,1,0,1
blessings,0,1,1
blew,0,4,4
bliar,0,1,1
blight,0,2,2
blind,1,11,12
blinding,0,1,1
blindly,0,3,3
blisters,0,1,1
blm,1,11,12
bloated,0,1,1
blobs,0,1,1
block,0,19,19
blockchainful,0,1,1
blocked,1,5,6
blockers,0,1,1
blocking,0,3,3
blog,0,1,1
blogger,1,0,1
blond,0,2,2
blood,1,3,4
bloodflies,0,1,1
bloodline,0,1,1
bloodsport,0,1,1
bloodsuckers,0,1,1
bloody,1,7,8
bloomberg,0,2,2
blooming,0,1,1
blossoms,0,1,1
blot,0,1,1
blow,0,7,7
blowing,0,3,3
blown,0,2,2
blue,2,8,10
blues,1,0,1
bluewave,0,1,1
bluewave2018,0,1,1
bluffing,0,1,1
blumenthal,0,1,1
bluntly,0,1,1
bluntness,0,1,1
blurted,0,1,1
blvd,0,1,1
bnf,0,1,1
bo,0,2,2
bo2,0,1,1
board,2,3,5
boarder,0,2,2
boat,0,1,1
boatload,0,1,1
bobby,0,1,1
bobpackwood,0,1,1
bobwoodward,0,1,1
boc,0,1,1
bodied,0,1,1
bodies,0,2,2
body,3,12,15
bodyguards,0,1,1
bodywraprestraint,0,1,1
boi,0,2,2
boii,0,1,1
bolna,1,0,1
bolsheviks,0,1,1
bolsonaroeleito1ºlugar,0,1,1
bolsonaropresidente,0,1,1
bolt,0,1,1
bomb,0,6,6
bombed,0,1,1
bomber,0,1,1
bombshell,0,1,1
bone,0,4,4
boner,0,1,1
bono,1,10,11
bonus,0,1,1
boo,2,3,5
boobies,1,0,1
boobs,3,3,6
booger,0,1,1
book,0,18,18
booker,0,2,2
books,0,4,4
booming,0,2,2
boomingeconomy,0,1,1
booo,0,1,1
boop,0,1,1
boopboopboop,0,1,1
boot,0,1,1
booter,0,1,1
boots,0,2,2
booty,0,2,2
border,0,7,7
bordering,0,1,1
borders,1,7,8
bored,0,1,1
boring,0,10,10
boris,0,2,2
bork,0,1,1
born,3,5,8
borrow,0,1,1
borrower,0,1,1
borrowers,0,2,2
boruto,0,1,1
boss,0,5,5
boston,0,1,1
bot,0,2,2
both,7,41,48
bother,0,1,1
bothered,0,2,2
bothering,1,0,1
bothers,0,2,2
bots,0,3,3
bottles,0,1,1
bottom,0,10,10
bought,0,5,5
bounds,0,1,1
bout,1,4,5
bovine,0,1,1
bow,0,1,1
bowed,0,1,1
bowl,0,1,1
box,0,6,6
boxers,0,1,1
boxing,0,1,1
boy,4,18,22
boycott,0,3,3
boycotted,0,1,1
boycotting,0,3,3
boycotts,1,0,1
boyfriend,0,2,2
boypussy,1,0,1
boys,1,15,16
brac,1,0,1
bracelets,0,1,1
brah,0,1,1
brain,0,18,18
brainchild,1,0,1
braindead,1,1,2
brainer,0,1,1
brainless,0,3,3
brains,0,7,7
brainwashed,0,8,8
brainwashing,0,4,4
brainy,0,1,1
branches,0,1,1
brand,0,2,2
branded,0,1,1
brandin,0,1,1
brandon,0,1,1
brat,1,9,10
brats,0,1,1
brave,0,3,3
bravery,0,2,2
bravest,0,1,1
brazen,0,1,1
bread,1,0,1
break,0,13,13
breakdown,0,1,1
breaker,0,1,1
breakers,0,1,1
breakfast,0,1,1
breaking,1,3,4
breaks,0,2,2
breatge,0,1,1
breath,0,3,3
breathing,0,1,1
breathtaking,0,1,1
breed,0,2,2
breeding,0,1,1
breitbart,2,1,3
breitbarters,0,1,1
brennan,0,3,3
bret,0,2,2
bretheren,0,1,1
brett,0,6,6
brettkavanaugh,0,1,1
brettkavanuagh,0,1,1
brewery,1,0,1
brexit,0,3,3
brexiteers,0,1,1
brexitmeansbrexit,0,1,1
brexitshambles,0,3,3
brian,0,2,2
bribe,0,2,2
bribery,0,1,1
bribes,0,3,3
brick,0,2,2
bridge,0,1,1
bridget,0,1,1
bright,0,3,3
brighter,1,1,2
brilliant,0,3,3
bring,1,20,21
bringing,1,4,5
brink,0,1,1
brioche,0,1,1
britain,0,2,2
britches,0,1,1
british,0,3,3
britons,0,1,1
brittany,0,1,1
bro,4,4,8
broad,0,1,1
broadcast,0,2,2
broadcasting,0,1,1
brock,0,1,1
broderick,0,1,1
broke,1,5,6
broken,0,5,5
bronbron,0,1,1
brooke,2,0,2
brookee,1,0,1
brooklyn,0,1,1
broom,0,1,1
brothel,0,1,1
brother,1,7,8
brotherhood,0,2,2
brought,0,11,11
brown,3,9,12
browns,0,3,3
brownshirt,0,1,1
brownshirts,0,1,1
bruce,1,1,2
bruceout,0,1,1
bruh,1,3,4
brushed,0,1,1
brutal,0,2,2
brutalist,0,1,1
brutality,0,4,4
brutally,0,1,1
bs,1,23,24
bt1100,1,0,1
bta3in,0,1,1
btw,0,4,4
btwn,0,1,1
bubble,1,2,3
bubbler,0,1,1
bubbles,0,1,1
buck,0,2,2
bucket,0,2,2
buckle,0,1,1
bucky,0,1,1
bud,0,1,1
buddhist,0,1,1
buddies,0,2,2
buddy,0,4,4
budget,0,5,5
budging,0,1,1
buff,0,2,2
buffoons,0,1,1
bug,1,2,3
buggers,0,1,1
bugging,1,0,1
bugs,0,1,1
build,0,7,7
builders,0,1,1
building,0,7,7
built,0,2,2
bull,2,4,6
bullet,1,3,4
bulletproof,0,1,1
bullets,0,1,1
bullie,0,1,1
bullied,0,1,1
bullies,0,10,10
bullsh,0,2,2
bullshit,9,34,43
bullshitting,0,1,1
bully,1,10,11
bullying,0,7,7
bulshit,0,1,1
bum,0,3,3
bummer,0,1,1
bunch,0,15,15
buncha,1,0,1
bunk,0,1,1
bunny,0,2,2
burden,0,1,1
burdening,0,1,1
bureaucratic,0,1,1
burger,0,1,1
buried,2,0,2
burka,0,1,1
burn,1,8,9
burned,0,2,2
burnett,1,1,2
burning,0,4,4
burns,0,1,1
bury,0,3,3
burying,0,1,1
bus,0,1,1
bush,0,1,1
bushie,0,1,1
bushmaster,0,1,1
business,4,17,21
businesses,0,2,2
busing,0,1,1
busted,1,3,4
busy,0,13,13
but,50,357,407
butch,0,1,1
butchering,0,1,1
butchers,0,1,1
butt,2,17,19
buttmunch,0,1,1
butts,0,1,1
buxom,0,1,1
buy,1,14,15
buying,0,4,4
buyout,0,1,1
buzzwords,0,1,1
bvs,0,2,2
bwaaaaa,0,1,1
bwaaaaaaa,0,1,1
bwahahahahaha,0,1,1
by,26,250,276
bye,0,6,6
bypass,0,1,1
bystanders,0,1,1
ca,0,5,5
cabinet,0,2,2
cable,0,1,1
cackle,1,0,1
cadaver,0,1,1
caed,0,1,1
cage,0,2,2
caged,1,1,2
cahoots,0,1,1
cake,0,1,1
calculations,1,0,1
cali,0,4,4
calif,0,1,1
california,5,12,17
call,9,52,61
called,3,38,41
calling,4,25,29
calls,1,11,12
callthevotealready,0,1,1
calm,0,2,2
calves,0,1,1
cam,1,1,2
came,1,5,6
camera,0,1,1
cameron,0,1,1
cameto,0,1,1
camp,0,2,2
campaign,0,7,7
campaigning,0,1,1
campaigns,0,1,1
campaing,0,1,1
camps,0,2,2
campus,1,2,3
campuses,1,2,3
can,32,282,314
